"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","","A","СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО","В данную секцию входит использование растительных и животных природных ресурсов, включая выращивание зерновых, содержание и разведение животных, получение древесины и других растений, животных или продуктов животного происхождения на ферме или в естественной среде обитания.","","","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","43.39","","4330","Прочие отделочные работы","Этот класс включает:
- приведение в порядок новых зданий после завершения строительства
- прочие отделочные работы, не включенные в другие категории","","Этот класс исключает:
- работу дизайнеров по внутренней отделке, см. 74.10
- общую внутреннюю очистку зданий и сооружений, см. 81.21
- специализированную внутреннюю и внешнюю очистку зданий, см. 81.22","This class includes:
- cleaning of new buildings after construction
- other building completion and finishing work n.e.c.","","This class excludes:
- activities of interior decoration designers, see 74.10
- general interior cleaning of buildings and other structures, see 81.21
- specialised interior and exterior cleaning of buildings, see 81.22"
"3","43.9","","439","Прочие специализированные строительные работы","","","","","",""
"4","43.91","","4390","Кровельные работы","Этот класс включает:
- монтаж крыши
- укладку кровли","","Этот класс исключает:
- аренду строительного оборудования и техники без участия оператора, см. 77.32","This class includes:
- erection of roofs
- roof covering","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32"
"4","43.99","","4390","Прочие специализированные строительные работы, не включенные в другие категории","Этот класс включает:
- строительные работы, сконцентрированные на одном аспекте, объединяющем различные типы сооружений, требующие специализированных навыков или оборудования:
  • строительство фундаментов, в том числе сваебойные работы
  • влаго- и водоизоляционные работы
  • осушение зданий
  • проходку шахтного ствола
  • установку стальных конструкций
  • сгибание стали
  • кладку кирпичей и камней
  • установку лесов, рабочих площадок и демонтаж, за исключением аренды лесов и рабочих площадок
  • установку дымоходов и промышленных печей
  • работа по специализированным требованиям доступа, что требует определенных навыков работы на высоте, а также использования соответствующего оборудования и оснащения, например, работа на высотных сооружениях
- подземные работы
- строительство открытых бассейнов
- очистку паром, пескоструйную обработку и прочие подобные работы для внешних стен зданий
- аренду кранов и прочего строительного оборудования, которое размещено на стройплощадке, с оператором","","Этот класс исключает:
- аренду строительного оборудования и техники без участия оператора, см. 77.32","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32"
"1","G","","G","ОПТОВАЯ И РОЗНИЧНАЯ ТОРГОВЛЯ; РЕМОНТ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ","Эта секция включает оптовую и розничную торговлю (т.е. продажу без изменения) всеми видами товаров и предоставление услуг, связанных с торговлей товарами. Оптовая и розничная торговля являются конечным этапом реализации товаров. В эту секцию также включен ремонт автотранспортных средств и мотоциклов.

Торговля  (без переработки) включает такие обычные торговые операции (или манипуляции) как сортировка, калибровка, сборка, смешивание (например, песка), разлив в бутылки (с предварительной мойкой бутылок или нет), фасовка, разделение и переупаковка в более мелкие партии, хранение (включая замораживание и охлаждение).

Раздел 45 включает все работы, относящиеся к продаже и ремонту автомобилей и мотоциклов, в то время как разделы 46 и 47 включают все прочие операции по торговле.  Различие между разделами 46 (оптовая торговля) и 47 (розничная торговля) основано на  наиболее распространенном типе потребителя.

Оптовая торговля – это перепродажа (продажа без изменения) новых или бывших в употреблении товаров розничным торговцам, производственным, торговым, учрежденческим или профессиональным пользователям или другим оптовым торговцам; деятельность агентов по покупке товаров от имени подобных лиц или компаний, а также по продаже им товаров. Включаются такие основные виды коммерческих предприятий, как оптовые торговые предприятия, т.е. оптовики, приобретающие право собственности на товары, которые они продают, оптовые торговцы, биржевики, предприятия оптовой торговли, специализирующиеся на обслуживании промышленности, экспортеры, импортеры, закупочно-кооперативные объединения, филиалы и бюро по продажам (не включаются магазины розничной торговли), которые содержат предприятия горнодобывающей промышленности (отдельно от заводов и шахт) для сбыта своей продукции и функции которых не ограничиваются приемом заказов, выполняемых путем прямых отгрузок с заводов или шахт. Включены также посредники и агенты, заготовители и кооперативные объединения, занимающиеся сбытом сельскохозяйственной продукции.

Оптовые торговцы часто физически выполняют такие операции, связанные с оптовой торговлей, как сборка, сортировка крупных партий товаров, их деление на более мелкие партии (например, фармацевтических товаров), хранение, охлаждение, доставка и установка товаров, рекламная деятельность, а также разработка этикеток.

Розничная торговля включает перепродажу (продажу без изменения) новых и бывших в употреблении товаров для личного потребления или домашнего пользования магазинами, универмагами, палатками, киосками, фирмами, выполняющими заказы по почте, уличными торговцами или торговцами вразнос, потребительскими кооперативами, фирмами, организующими продажи с аукциона и т.п. Большинство розничных торговцев приобретают право собственности на товары, которыми они торгуют, однако некоторые из них выступают в качестве агента и от имени принципала осуществляют продажи на условиях консигнации или за комиссионные.","","","This section includes wholesale and retail sale (i.e. sale without transformation) of any type of goods, and rendering services incidental to the sale of merchandise. Wholesaling and retailing are the final steps in the distribution of merchandise. Also included in this section are the repair of motor vehicles and motorcycles.

Sale without transformation is considered to include the usual operations (or manipulations) associated with trade, for example sorting, grading and assembling of goods, mixing (blending) of goods (for example sand), bottling (with or without preceding bottle cleaning), packing, breaking bulk and repacking for distribution in smaller lots, storage (whether or not frozen or chilled).

Division 45 includes all activities related to the sale and repair of motor vehicles and motorcycles, while divisions 46 and 47 include all other sale activities. The distinction between division 46 (wholesale) and division 47 (retail sale) is based on the predominant type of customer.

Wholesale is the resale (sale without transformation) of new and used goods to retailers, business-to-business trade, such as to industrial, commercial, institutional or professional users, or resale to other wholesalers, or involves acting as an agent or broker in buying merchandise for, or selling merchandise to, such persons or companies. The principal types of businesses included are merchant wholesalers, i.e. wholesalers who take title to the goods they sell, such as wholesale merchants or jobbers, industrial distributors, exporters, importers, and cooperative buying associations, sales branches and sales offices (but not retail stores) that are maintained by manufacturing or mining units apart from their plants or mines for the purpose of marketing their products and that do not merely take orders to be filled by direct shipments from the plants or mines. Also included are merchandise and commodity brokers, commission merchants and agents and assemblers, buyers and cooperative associations engaged in the marketing of farm products.

Wholesalers frequently physically assemble, sort and grade goods in large lots, break bulk, repack and redistribute in smaller lots, for example pharmaceuticals; store, refrigerate, deliver and install goods, engage in sales promotion for their customers and label design.

Retailing is the resale (sale without transformation) of new and used goods mainly to the general public for personal or household consumption or utilisation, in shops, department stores, stalls, mail-order houses, door-to-door sales persons, hawkers, consumer cooperatives, auction houses etc. Most retailers take title to the goods they sell, but some act as agents for a principal and sell either on consignment or on a commission basis.","",""
"2","45","","45","Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт","Данный раздел включает все виды деятельности (кроме производства и аренды), связанные с автомобилями и мотоциклами, включая грузовые автомобили и колесные тягачи, такие как оптовая и розничная продажа новых и бывших в употреблении транспортных средств, ремонт и техобслуживание транспортных средств, а также оптовая и розничная продажа запчастей и аксессуаров для автомобилей и мотоциклов. Также сюда относится деятельность комиссионных агентов, участвующих в оптовых или розничных продажах  транспортных средств.","В данный раздел также входят такие работы как мойка, полировка автомобилей и т.д.","Данный раздел исключает розничную торговлю автомобильным топливом и смазочными или охлаждающими материалами или аренду автомобилей или мотоциклов.","This division includes all activities (except manufacture and rental) related to motor vehicles and motorcycles, including lorries and trucks, such as the wholesale and retail sale of new and second-hand vehicles, the repair and maintenance of vehicles and the wholesale and retail sale of parts and accessories for motor vehicles and motorcycles. Also included are activities of commission agents involved in wholesale or retail sale of vehicles.","This division also includes activities such as washing, polishing of vehicles etc.","This division does not include the retail sale of automotive fuel and lubricating or cooling products or the rental of motor vehicles or motorcycles."
"3","45.1","","451","Продажа моторных транспортных средств","","","","","",""
"4","45.11","","4510","Продажа автомобилей и легких моторных транспортных средств","Этот класс включает:
- оптовую и розничную продажу новых и бывших в употреблении транспортных средств:
  • пассажирских транспортных средств, включая специализированные пассажирские автомобили, такие как  машины скорой помощи, микроавтобусы и т.д. (весом не более 3,5 тонн)","Этот класс также включает:
- оптовую и розничную продажу внедорожных моторных транспортных средств (весом не более 3,5 тонн)","Этот класс исключает:
- оптовую и розничную продажу комплектующих и аксессуаров для моторных транспортных средств, см. 45.3
- аренду транспортных средств с предоставлением водителя, см. 49.3
- аренду транспортных средств без водителя, см. 77.1","This class includes:
- wholesale and retail sale of new and used vehicles:
  • passenger motor vehicles, including specialised passenger motor vehicles such as ambulances and minibuses, etc. (with a weight not exceeding 3,5 tons)","This class also includes:
- wholesale and retail sale of off-road motor vehicles (with a weight not exceeding 3,5 tons)","This class excludes:
- wholesale and retail sale of parts and accessories for motor vehicles, see 45.3
- rental of motor vehicles with driver, see 49.3
- rental of motor vehicles without driver, see 77.1"
"4","45.19","","4510","Продажа прочих моторных транспортных средств","Этот класс включает:
- оптовую и розничную продажу новых и бывших в употреблении транспортных средств:
  • грузовых автомобилей, прицепов и полуприцепов
  • туристических автомобилей, таких как фургоны и дома на колесах","Этот класс также включает:
- оптовую и розничную продажу внедорожных моторных транспортных средств (весом более 3,5 тонн)","Этот класс исключает:
- оптовую и розничную продажу комплектующих и аксессуаров для моторных транспортных средств, см. 45.3
- аренду грузовых автомобилей с предоставлением водителя, см. 49.41
- аренду грузовых автомобилей без водителя, см. 77.12","This class includes:
- wholesale and retail sale of new and used vehicles:
  • lorries, trailers and semi-trailers
  • camping vehicles such as caravans and motor homes","This class also includes:
- wholesale and retail sale of off-road motor vehicles (with a weight exceeding 3,5 tons)","This class excludes:
- wholesale and retail sale of parts and accessories for motor vehicles, see 45.3
- rental of trucks with driver, see 49.41
- rental of trucks without driver, see 77.12"
"3","45.2","","452","Техобслуживание и ремонт моторных транспортных средств","","","","","",""
"4","45.20","","4520","Техобслуживание и ремонт моторных транспортных средств","Этот класс включает:
- техобслуживание и ремонт моторных транспортных средств:
  • механические ремонтные работы
  • электротехнические ремонтные работы
  • ремонт систем электронного впрыска топлива
  • регулярный осмотр и текущий ремонт
  • ремонт кузова
  • ремонт запчастей для транспортных средств
  • мойка, полировка и т.д.
  • распыление и покраска
  • ремонт лобовых стекол и окон
  • ремонт сидений транспортных средств
- ремонт шин и камер, их установку или замену
- антикоррозийную обработку
- установку запчастей и принадлежностей, не являющуюся частью производственного процесса","","Этот класс исключает:
- восстановление протектора и капитальный ремонт шин, см. 22.11","This class includes:
- maintenance and repair of motor vehicles:
  • mechanical repairs
  • electrical repairs
  • electronic injection systems repair
  • ordinary servicing
  • bodywork repair
  • repair of motor vehicle parts
  • washing, polishing, etc.
  • spraying and painting
  • repair of screens and windows
  • repair of motor vehicle seats
- tyre and tube repair, fitting or replacement
- anti-rust treatment
- installation of parts and accessories not as part of the manufacturing process","","This class excludes:
- retreading and rebuilding of tyres, see 22.11"
"3","45.3","","453","Торговля автомобильными деталями, узлами и принадлежностями","Данная группа включает оптовую и розничную продажу всех видов запчастей, компонентов, инструментов и аксессуаров для автомобилей, таких как:
  • резиновые шины и внутренние камеры
  • свечи зажигания, аккумуляторы, осветительное оборудование и электрозапчасти","","","This group includes wholesale and retail trade of all kinds of parts, components, supplies, tools and accessories for motor vehicles, such as:
  • rubber tyres and inner tubes for tyres
  • spark plugs, batteries, lighting equipment and electrical parts","",""
"4","45.31","","4530","Оптовая торговля запасными частями и принадлежностями для автомобилей","","","","","",""
"4","45.32","","4530","Розничная торговля запасными частями и принадлежностями для автомобилей","","","Этот класс исключает:
- розничную торговлю автомобильным топливом, см. 47.30","","","This class excludes:
- retail sale of automotive fuel, see 47.30"
"3","45.4","","454","Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов","","","","","",""
"4","45.40","","4540","Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов","Этот класс включает:
- оптовую и розничную продажу мотоциклов, в том числе мопедов
- оптовую и розничную продажу запчастей и принадлежностей (включая продажу через комиссионных агентов и фирмы посылочной торговли)
- ремонт, технический уход и обслуживание мотоциклов","","Этот класс исключает:
- оптовую продажу велосипедов и соответствующих деталей и принадлежностей к ним, см. 46.49
- розничную продажу велосипедов и соответствующих деталей и принадлежностей к ним, см. 47.64
- аренду мотоциклов, см. 77.39
- ремонт, технический уход и обслуживание велосипедов, см. 95.29","This class includes:
- wholesale and retail sale of motorcycles, including mopeds
- wholesale and retail sale of parts and accessories for motorcycles (including by commission agents and mail order houses)
- maintenance and repair of motorcycles","","This class excludes:
- wholesale of bicycles and related parts and accessories, see 46.49
- retail sale of bicycles and related parts and accessories, see 47.64
- rental of motorcycles, see 77.39
- repair and maintenance of bicycles, see 95.29"
"2","46","","46","Оптовая торговля, за исключением автомобилей и мотоциклов","Данный раздел включает оптовую торговлю за собственный счет или на основе договора (комиссионная торговля) в отношении оптовой торговли бытовыми товарами, а также международную оптовую торговлю (импорт/экспорт).","","Данный раздел исключает:
- оптовую торговлю автомобилями, фургонами и мотоциклами, см. 45.1, 45.4
- оптовую продажу аксессуаров для автомобилей, см. 45.31, 45.40
- аренду и прокат товаров, см. раздел 77
- упаковку твердых товаров и разлив в бутылки жидких или газообразных товаров, включая смешивание и очистку (фильтрацию) для других лиц, см. 82.92","This division includes wholesale trade on own account or on a fee or contract basis (commission trade) related to domestic wholesale trade as well as international wholesale trade (import/export).","","This division excludes:
- wholesale of motor vehicles, caravans and motorcycles, see 45.1, 45.4
- wholesale of motor vehicle accessories, see 45.31, 45.40
- rental and leasing of goods, see division 77
- packing of solid goods and bottling of liquid or gaseous goods, including blending and filtering for third parties, see 82.92"
"3","46.1","","461","Оптовая торговля за вознаграждение или на договорной основе","Данная группа включает:
- деятельность комиссионных агентов, товарных брокеров и прочих оптовиков, осуществляющих сделки от имени или за счет других лиц или фирм
- деятельность, связанную со сведением продавцов с покупателями или с осуществлением коммерческих сделок от имени комитента, в том числе через Интернет","Данная группа также включает:
- деятельность оптовых аукционных домов, включая оптовые аукционы через сеть Интернет","","This group includes:
- activities of commission agents, commodity brokers and all other wholesalers who trade on behalf and on the account of others
- activities of those involved in bringing sellers and buyers together or undertaking commercial transactions on behalf of a principal, including on the Internet.","This group also includes:
- activities of wholesale auctioneering houses, including Internet wholesale auctions",""
"4","46.11","","4610","Деятельность агентов по торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами","","","Этот класс исключает:
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99","","","This class excludes:
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99"
"4","46.12","","4610","Деятельность агентов по торговле топливом, рудами, металлами и химическими веществами","Данный класс включает агентов, занимающихся продажей:
  • топливом, рудами, металлами и химическими веществами, включая удобрения","","Этот класс исключает:
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99","This class includes agents involved in the sale of:
  • fuels, ores, metals and industrial chemicals, including fertilisers","","This class excludes:
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99"
"4","46.13","","4610","Деятельность агентов по торговле древесиной и строительными материалами","","","Этот класс исключает:
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99","","","This class excludes:
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99"
"4","46.14","","4610","Деятельность агентов по торговле машинами, оборудованием, промышленным оборудованием, морскими и воздушными судами","Данный класс включает агентов, занимающихся торговлей:
  • машинами, включая офисную технику и компьютеры,, промышленным оборудованием, морскими и воздушными судами","","Этот класс исключает:
- деятельность комиссионных агентов, занимающихся продажей моторных транспортных средств, см. 45.1
- аукционы моторных транспортных средств, см. 45.1
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99","This class includes agents involved in the sale of:
  • machinery, including office machinery and computers, industrial equipment, ships and aircraft","","This class excludes:
- activities of commission agents for motor vehicles, see 45.1
- auctions of motor vehicles, see 45.1
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99"
"4","46.15","","4610","Деятельность агентов по торговле мебелью, бытовыми товарами, скобяными и прочими металлическими изделиями","","","Этот класс исключает:
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99","","","This class excludes:
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99"
"4","46.16","","4610","Деятельность агентов по торговле текстильными изделиями, одеждой, обувью, изделиями из кожи и меха","","","Этот класс исключает:
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99","","","This class excludes:
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99"
"4","46.17","","4610","Деятельность агентов по торговле пищевыми продуктами, включая напитки, и табачными изделиями","","","Этот класс исключает:
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99","","","This class excludes:
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99"
"4","46.18","","4610","Деятельность агентов, специализирующихся на торговле отдельными видами товаров","","","Этот класс исключает:
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99
- деятельность страховых агентов, см. 66.22
- деятельность агентов по торговле недвижимостью, см. 68.31","","","This class excludes:
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99
- activities of insurance agents, see 66.22
- activities of real estate agents, see 68.31"
"4","46.19","","4610","Деятельность агентов по торговле товарами широкого ассортимента","","","Этот класс исключает:
- оптовую торговлю от собственного имени, см. 46.2, 46.9
- розничную торговлю, осуществляемую комиссионными агентами не через магазины, см. 47.99","","","This class excludes:
- wholesale trade in own name, see 46.2 to 46.9
- retail sale by non-store commission agents, see 47.99"
"3","46.2","","462","Оптовая торговля сельскохозяйственным сырьем и живыми животными","","","","","",""
"4","46.21","","4620","Оптовая торговля зерном, необработанным табаком, семенами и кормами для животных","Этот класс включает:
- оптовую торговлю зерном
- оптовую торговлю масличными фруктами
- оптовую торговлю сырьевым табаком
- оптовую торговлю кормами для животных и сельскохозяйственным сырьем, не включенных в другие категории","","Этот класс исключает:
- оптовую торговлю  текстильным волокном, см. 46.76","This class includes:
- wholesale of grains and seeds
- wholesale of oleaginous fruits
- wholesale of unmanufactured tobacco
- wholesale of animal feeds and agricultural raw material n.e.c.","","This class excludes:
- wholesale of textile fibres, see 46.76"
"4","46.22","","4620","Оптовая торговля цветами и другими растениями","Этот класс включает:
- оптовую торговлю цветами, растениями и луковицами","","","This class includes:
- wholesale of flowers, plants and bulbs","",""
"4","46.23","","4620","Оптовая торговля живыми животными","","","","","",""
"4","46.24","","4620","Оптовая торговля шкурами и кожей","","","","","",""
"3","46.3","","463","Оптовая торговля продуктами питания, напитками и табачными изделиями","","","","","",""
"4","46.31","","4630","Оптовая торговля фруктами и овощами","Этот класс включает:
- оптовую торговлю свежими фруктами и овощами
- оптовую торговлю консервированными фруктами и овощами","","","This class includes:
- wholesale of fresh fruits and vegetables
- wholesale of preserved fruits and vegetables","",""
"4","46.32","","4630","Оптовая торговля мясом и мясными продуктами","","","","","",""
"4","46.33","","4630","Оптовая торговля молочными продуктами, яйцами и пищевыми маслами и жирами","Этот класс включает:
- оптовую торговлю молочной продукцией
- оптовую торговлю яйцами и яичной продукцией
- оптовую торговлю животными и растительными пищевыми маслами и жирами","","","This class includes:
- wholesale of dairy products
- wholesale of eggs and egg products
- wholesale of edible oils and fats of animal or vegetable origin","",""
"4","46.34","","4630","Оптовая торговля напитками","Этот класс включает:
- оптовую торговлю алкогольными напитками
- оптовую торговлю безалкогольными напитками","Этот класс также включает:
- покупку вина крупными партиями и расфасовку в бутылки без преобразований","Этот класс исключает:
- смешивание вина или дистиллированного спирта, см. 11.01, 11.02","This class includes:
- wholesale of alcoholic beverages
- wholesale of non-alcoholic beverages","This class also includes:
- buying of wine in bulk and bottling without transformation","This class excludes:
- blending of wine or distilled spirits, see 11.01, 11.02"
"4","46.35","","4630","Оптовая торговля табачными изделиями","","","","","",""
"4","46.36","","4630","Оптовая торговля сахаром, шоколадом и сахаристыми кондитерскими изделиями","Этот класс включает:
- оптовую торговлю сахаром, шоколадом и кондитерскими изделиями
- оптовую торговлю хлебобулочной продукцией","","","This class includes:
- wholesale of sugar, chocolate and sugar confectionery
- wholesale of bakery products","",""
"4","46.37","","4630","Оптовая торговля кофе, чаем, какао и пряностями","","","","","",""
"4","46.38","","4630","Оптовая торговля прочими продуктами питания, включая рыбу, ракообразных и моллюсков","","Этот класс также включает:
- оптовую торговлю кормами для домашних животных","","","This class also includes:
- wholesale of feed for pet animals",""
"4","46.39","","4630","Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями","","","","","",""
"3","46.4","","464","Оптовая торговля непродовольственными товарами потребительского назначения","Данная группа включает оптовую торговлю непродовольственными товарами потребительского назначения, включая текстильные изделия.","","","This group includes the wholesale of household goods, including textiles.","",""
"4","46.41","Cordage, rope, twine and cables of textile (Wholesale trade of…)

Problem statement: Where in wholesale trade is the output of the code 13.94, namely cordage, rope, twine and cables of textile classified?

Solution: Conclusion of the NACE/CPA Task Force 13-15 November 2006. NACE Rev. 2 class 46.41 (Wholesale of textiles"" includes wholesale trade of cordage, rope, twine and cables of textile

Decision date: 15.11.2006","4641","Оптовая торговля текстильными товарами","Этот класс включает:
- оптовую торговлю пряжей
- оптовую торговлю тканями
- оптовую торговлю постельным, столовым бельем и т.д.
- оптовую торговлю галантерейными товарами: иголками, нитками и т.д.","","Этот класс исключает:
- оптовую торговлю  текстильным волокном, см. 46.76","This class includes:
- wholesale of yarn
- wholesale of fabrics
- wholesale of household linen etc.
- wholesale of haberdashery: needles, sewing thread etc.","","This class excludes:
- wholesale of textile fibres, see 46.76"
"4","46.42","","4641","Оптовая торговля одеждой и обувью","Этот класс включает:
- оптовую торговлю одеждой, в том числе спортивной
- оптовую торговлю такими аксессуарами, как перчатки, галстуки и  подтяжки
- оптовую торговлю обувью
- оптовую торговлю меховыми изделиями
- оптовую торговлю зонтами","","Этот класс исключает:
- оптовую торговлю ювелирными изделиями, см. 46.48
- оптовую торговлю кожаными изделиями, см. 46.49
- оптовую торговлю специализированным спортивным оборудованием и инвентарем, а также обувью, например, лыжными ботинками, см. 46.49","This class includes:
- wholesale of clothing, including sports clothes
- wholesale of clothing accessories such as gloves, ties and braces
- wholesale of footwear
- wholesale of fur articles
- wholesale of umbrellas","","This class excludes:
- wholesale of jewellery, see 46.48
- wholesale of leather goods, see 46.49
- wholesale of special sports equipment footwear such as ski boots, see 46.49"
"4","46.43","","4649","Оптовая торговля бытовыми электротоварами","Этот класс включает:
- оптовую торговлю электрическими бытовыми приборами
- оптовую торговлю радио- и телевизионным оборудованием
- оптовую торговлю фотографическими и оптическими товарами
- оптовую торговлю электрическими обогревателями
- оптовую торговлю аудио и видеопленками, дисками CD и DVD с записями","","Этот класс исключает:
- оптовую торговлю чистыми аудио и видеопленками, дисками CD и DVD, см. 46.52
- оптовую торговлю швейными машинами, см. 46.64","This class includes:
- wholesale of electrical household appliances
- wholesale of radio and television equipment
- wholesale of photographic and optical goods
- wholesale of electrical heating appliances
- wholesale of recorded audio and video tapes, CDs, DVDs","","This class excludes:
- wholesale of blank audio and video tapes, CDs, DVDs, see 46.52
- wholesale of sewing machines, see 46.64"
"4","46.44","","4649","Оптовая торговля фарфором, стеклянной посудой и чистящими средствами","Этот класс включает:
- оптовую торговлю изделиями из фарфора и стекла
- оптовую торговлю чистящими средствами","","","This class includes:
- wholesale of china and glassware
- wholesale of cleaning materials","",""
