"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ROLNICTWO, LEŚNICTWO I RYBACTWO","Sekcja ta obejmuje działalności związane z:
-   eksploatacją naturalnych zasobów roślinnych i zwierzęcych,
-   uprawą zbóż i innych roślin uprawnych,
-   chowem i hodowlą zwierząt,
-   pozyskiwaniem drewna i surowców leśnych,
-   pozyskiwaniem zwierząt lub produktów zwierzęcych z gospodarstw rolnych lub ich naturalnego środowiska.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"2","41","Roboty budowlane związane ze wznoszeniem budynków","Dział ten obejmuje:
-    roboty ogólnobudowlane dotyczące wszystkich rodzajów budynków,
-    budowę kompletnych budynków mieszkalnych, budynków biurowych, budynków handlowych oraz innych budynków użyteczności publicznej, budynków gospodarstw rolnych itp.

We wszystkich grupowaniach niniejszego działu zawarte są prace związane ze wznoszeniem, rozbudową, nadbudową, odbudową, przebudową, remontem oraz montażem budynków z elementów prefabrykowanych o charakterze stałym lub tymczasowym.","","","","41","This division includes general construction of buildings of all kinds. It includes new work, repair, additions and alterations, the erection of pre-fabricated buildings or structures on the site and also construction of temporary nature.

Included is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings, etc.","",""
"3","41.1","Realizacja projektów budowlanych związanych ze wznoszeniem budynków","","","","","410","","",""
"4","41.10","Realizacja projektów budowlanych związanych ze wznoszeniem budynków","Klasa ta obejmuje:
-    realizację projektów budowlanych obejmujących przedsięwzięcia finansowe, techniczne i rzeczowe w celu przygotowania lub budowy budynków do sprzedaży.","","Klasa ta nie obejmuje:
-    robót budowlanych związanych ze wznoszeniem budynków, sklasyfikowanych w 41.20,
-    działalności w zakresie architektury i inżynierii oraz zarządzania projektami budowlanymi, sklasyfikowanych w odpowiednich klasach grupy 71.1.","","4100","This class includes:
- development of building projects for residential and non-residential buildings by bringing together financial, technical and physical means to realise the building projects for later sale","","This class excludes:
- construction of buildings, see 41.20
- architectural and engineering activities, see 71.1
- project management services related to building projects, see 71.1"
"3","41.2","Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych","Grupa ta obejmuje wznoszenie kompletnych budynków mieszkalnych i niemieszkalnych, na własny rachunek lub na zlecenie.

Część robót budowlanych, a czasami nawet cała praca może być zlecana podwykonawcom. Wyspecjalizowane roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych sklasyfikowane są w odpowiednich klasach działu 43.","","","","410","This group includes the construction of complete residential or non-residential buildings, on own account for sale or on a fee or contract basis. Outsourcing parts or even the whole construction process is possible. If only specialised parts of the construction process are carried out, the activity is classified in division 43.","",""
"4","41.20","Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych","Klasa ta obejmuje:
-    wznoszenie wszelkich typów budynków mieszkalnych:
 •     jednorodzinnych,
 •     wielomieszkaniowych, włączając wieżowce,
-    wznoszenie wszelkiego typu budynków niemieszkalnych, takich jak:
 •     budynki przemysłowe, np. fabryki, warsztaty, montownie itp.,
 •     budynki szpitali, szkół i biurowe,
 •     hotele, sklepy, centra handlowe, restauracje,
 •     budynki lotnisk,
 •     kryte obiekty sportowe,
 •     garaże parkingowe, włączając podziemne,
 •     budynki magazynowe,
 •     budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,
-    montaż i wznoszenie budynków z elementów prefabrykowanych w określonym miejscu.","Klasa ta obejmuje także :
-    przebudowę lub remont istniejących budynków mieszkalnych.","Klasa ta nie obejmuje:
-    wznoszenia obiektów przemysłowych, z wyłączeniem budynków, sklasyfikowanego w 42.99,
-    działalności w zakresie architektury i inżynierii oraz zarządzania projektami budowlanymi sklasyfikowanych w odpowiednich klasach grupy 71.1.","","4100","This class includes:
- construction of all types of residential buildings:
  • single-family houses
  • multi-family buildings, including high-rise buildings
- construction of all types of non-residential buildings:
  • buildings for industrial production, e.g. factories, workshops, assembly plants etc.
  • hospitals, schools, office buildings
  • hotels, stores, shopping malls, restaurants
  • airport buildings
  • indoor sports facilities
  • parking garages, including underground parking garages
  • warehouses
  • religious buildings
- assembly and erection of prefabricated constructions on the site","This class also includes:
- remodelling or renovating existing residential structures","This class excludes:
- construction of industrial facilities, except buildings, see 42.99
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1"
"2","42","Roboty związane z budową obiektów inżynierii lądowej i wodnej","Dział ten obejmuje roboty związane z budową obiektów inżynierii lądowej i wodnej.
We wszystkich grupowaniach niniejszego działu mieszczą się roboty budowlane związane ze wznoszeniem, rozbudową odbudową, przebudową, remontem, montażem budynków z elementów prefabrykowanych o charakterze stałym lub tymczasowym.

Dział ten obejmuje budowę takich obiektów inżynierii lądowej i wodnej, jak: autostrady, drogi, ulice, mosty, tunele, wiadukty, estakady, drogi szynowe, płyty lotniska, porty oraz obiekty inżynierii wodnej, systemy irygacyjne, systemy kanalizacyjne, sieci wodno-   kanalizacyjne, obiekty przemysłowe, rurociągi oraz linie elektroenergetyczne, odkryte obiekty sportowe itp.

Roboty takie mogą być wykonywane na rachunek własny lub na zlecenie.
Część robót lub czasami praktycznie cały zakres robót może być zlecony podwykonawcom.","","","","42","This division includes general construction for civil engineering objects. It includes new work, repair, additions and alterations, the erection of pre-fabricated structures on the site and also construction of temporary nature.

Included is the construction of heavy constructions such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, outdoor sports facilities, etc. This work can be carried out on own account or on a fee or contract basis. Portions of the work and sometimes even the whole practical work can be subcontracted out.","",""
"3","42.1","Roboty związane z budową dróg kołowych i szynowych","","","","","421","","",""
"4","42.11","Roboty związane z budową dróg i autostrad","Klasa ta obejmuje:
-    roboty związane z budową autostrad, ulic, dróg, chodników, ścieżek dla pieszych i rowerzystów,
-    roboty nawierzchniowe na autostradach, ulicach, drogach, mostach, wiaduktach lub w tunelach:
 •     układanie nawierzchni bitumicznych na drogach,
 •     malowanie oznakowania poziomego i pozostałych oznaczeń na drogach itp.,
 •     instalowanie barier drogowych, znaków drogowych itp.,
-    roboty związane z budową pasów startowych oraz płyt lotniskowych.","","Klasa ta nie obejmuje:
-    wykonywania instalacji oświetlenia ulic i sygnalizacji świetlnej, sklasyfikowanego w 43.21,
-    działalności w zakresie architektury i inżynierii oraz zarządzania projektami budowlanymi sklasyfikowanych w odpowiednich klasach grupy 71.1.","","4210","This class includes:
- construction of motorways, streets, roads, other vehicular and pedestrian ways
- surface work on streets, roads, highways, bridges or tunnels:
  • asphalt paving of roads
  • road painting and other marking
  • installation of crash barriers, traffic signs and the like
- construction of airfield runways","","This class excludes:
- installation of street lighting and electrical signals, see 43.21
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1"
"4","42.12","Roboty związane z budową dróg szynowych i kolei podziemnej","Klasa ta obejmuje roboty związane z budową:
-    dróg szynowych i kolei podziemnej.","","Klasa ta nie obejmuje:
-    wykonywania instalacji oświetlenia ulic i sygnalizacji świetlnej, sklasyfikowanego w 43.21,
-    działalności w zakresie architektury i inżynierii oraz zarządzania projektami budowlanymi sklasyfikowanych w odpowiednich klasach grupy 71.1.","","4210","This class includes:
- construction of railways and subways","","This class excludes:
- installation of lighting and electrical signals, see 43.21
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1"
"4","42.13","Roboty związane z budową mostów i tuneli","Klasa ta obejmuje roboty związane z budową:
-    mostów, wiaduktów, estakad drogowych, włączając autostradowe, kładek dla pieszych,
-    tuneli.","","Klasa ta nie obejmuje:
-    wykonywania instalacji oświetleniowej i sygnalizacji świetlnej, sklasyfikowanego w 43.21,
-    działalności w zakresie architektury i inżynierii oraz zarządzania projektami budowlanymi sklasyfikowanych w odpowiednich klasach grupy 71.1.","","4210","This class includes:
- construction of bridges, including those for elevated highways
- construction of tunnels","","This class excludes:
- installation of lighting and electrical signals, see 43.21
- architectural and engineering activities, see 71.1
- project management for construction, see 71.1"
"3","42.2","Roboty związane z budową rurociągów, linii telekomunikacyjnych i elektroenergetycznych","","","","","422","","",""
"4","42.21","Roboty związane z budową rurociągów i sieci rozdzielczych","Klasa ta obejmuje roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych oraz związanych z nimi budynków i budowli, które stanowią integralną część tych systemów.

Klasa ta obejmuje roboty związane z budową:
-    rurociągów przesyłowych i sieci rozdzielczych,
-    magistrali i linii wodociągowych,
-    systemów irygacyjnych (kanałów), zbiorników,
-    sieci kanalizacyjnych, włączając remonty,
-    oczyszczalni ścieków, stacji pomp.","Klasa ta obejmuje także :
-    roboty związane z wierceniem studni i ujęć wodnych.","Klasa ta nie obejmuje:
-    zarządzania projektami budowlanymi w zakresie obiektów inżynierii lądowej i wodnej, sklasyfikowanego w odpowiednich klasach grupy 71.12.","","4220","This class includes the construction of distribution lines for transportation of fluids and related buildings and structures that are integral part of these systems.

This class includes:
- construction of civil engineering constructions for:
  • long-distance and urban pipelines
  • water main and line construction
  • irrigation systems (canals)
  • reservoirs
- construction of:
  • sewer systems, including repair
  • sewage disposal plants
  • pumping stations","This class also includes:
- water well drilling","This class excludes:
- project management activities related to civil engineering works, see 71.12"
"4","42.22","Roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych","Klasa ta obejmuje roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych oraz związanych z nimi budynków i budowli, które stanowią integralną część tych systemów.

Klasa ta obejmuje roboty związane z budową:
-    linii telekomunikacyjnych i elektroenergetycznych, przesyłowych i rozdzielczych,
-    elektrowni.","","Klasa ta nie obejmuje:
-    zarządzania projektami budowlanymi w zakresie obiektów inżynierii lądowej i wodnej, sklasyfikowanego w odpowiednich klasach grupy 71.12.","","4220","This class includes the construction of distribution lines for electricity and telecommunications and related buildings and structures that are integral part of these systems.

This class includes:
- construction of civil engineering constructions for:
  • long-distance and urban communication and power lines
  • power plants","","This class excludes:
- project management activities related to civil engineering works, see 71.12"
"3","42.9","Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej","","","","","429","","",""
"4","42.91","Roboty związane z budową obiektów inżynierii wodnej","Klasa ta obejmuje roboty związane z budową:
-    dróg wodnych, portów morskich i rzecznych, przystani, śluz itp.,
-    zapór wodnych oraz grobli (wały ochronne, rowy odwadniające)
oraz
-    pogłębianie dna dróg wodnych.","","Klasa ta nie obejmuje:
-    zarządzania projektami budowlanymi w zakresie obiektów inżynierii lądowej i wodnej, sklasyfikowanego w odpowiednich klasach grupy 71.12.","","4290","This class includes:
- construction of:
  • waterways, harbour and river works, pleasure ports (marinas), locks, etc.
  • dams and dykes
- dredging of waterways","","This class excludes:
- project management activities related to civil engineering works, see 71.12"
"4","42.99","Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane","Klasa ta obejmuje roboty związane z budową:
-    obiektów przemysłowych (z wyłączeniem budynków), takich jak: rafinerie, zakłady chemiczne,
-    obiektów sportowych przeznaczonych do uprawiania sportów na świeżym powietrzu.","Klasa ta obejmuje także :
- podział ziemi w celu jej ulepszenia (np. dla poszerzania dróg, infrastruktury użyteczności publicznej itp.).","Klasa ta nie obejmuje:
-    instalowania przemysłowych maszyn i urządzeń, sklasyfikowanego w 33.20,
-    podziału ziemi bez jej ulepszania, sklasyfikowanego 68.10,
-    zarządzania projektami w zakresie obiektów inżynierii lądowej i wodnej, sklasyfikowanego w odpowiednich klasach grupy 71.12.","","4290","This class includes:
- construction of industrial facilities, except buildings, such as:
  • refineries
  • chemical plants
- construction work, other than buildings, such as:
  • outdoor sports facilities","This class also includes:
- land subdivision with land improvement (e.g. adding of roads, utility infrastructure etc.)","This class excludes:
- installation of industrial machinery and equipment, see 33.20
- land subdivision without land improvement, see 68.10
- project management activities related to civil engineering works, see 71.12"
"2","43","Roboty budowlane specjalistyczne","Dział ten obejmuje specjalistyczne roboty budowlane związane z  budową budynków oraz obiektów inżynierii lądowej i wodnej, prowadzone przez wykonawców posiadających specjalistyczne umiejętności i specjalny sprzęt.
Prace te obejmują:
-    wbijanie pali, budowanie fundamentów, roboty betoniarskie, murarskie, kamieniarskie, montowanie i demontowanie rusztowań, wykonywanie pokryć dachowych itp.
Dział ten obejmuje także montaż konstrukcji stalowych, o ile pojedyncze elementy konstrukcji nie zostały wykonane przez tę samą jednostkę, która zajmuje się ich montażem.

Specjalistyczne roboty budowlane wykonywane są z reguły przez podwykonawców.

Roboty wykończeniowe i wykonywanie instalacji budowlanych mieszczą się również w niniejszym dziale.

Instalacje budowlane obejmują instalacje wszelkich rodzajów, które są niezbędne do funkcjonowania budynku lub budowli zgodnie z jego przeznaczeniem. Roboty instalacyjne mogą być przeprowadzone na terenie budowy lub w warsztatach.

Zalicza się tu wykonywanie:
-    instalacji gazowych, wodnych, kanalizacyjnych, centralnego ogrzewania i wentylacyjnych, instalowanie anten, wykonywanie instalacji alarmowych i pozostałych instalacji elektrycznych, instalowanie przeciwpożarowego systemu zraszającego, instalowanie dźwigów osobowych i towarowych oraz schodów ruchomych itp.,
-    zakładanie izolacji cieplnych, wodnych, dźwiękochłonnych, roboty blacharskie, zakładanie przemysłowych instalacji chłodniczych, systemów oświetleniowych i systemów sygnalizacyjnych dróg, szlaków kolejowych, portów lotniczych i wodnych itp.

Instalacje te obejmują także związane z nimi prace remontowe.

Do pozostałych działalności związanych z wykańczaniem obiektów budowlanych zalicza się m.in.:
-    szklenie, tynkowanie, malowanie, układanie ceramicznych, betonowych lub kamiennych płytek podłogowych i ściennych, układanie pokryć dywanowych i parkietów, tapetowanie ścian itp., cyklinowanie podłóg, zakładanie stolarki budowlanej, zewnętrzne mycie budynków itp. Zalicza się tu również związane z tymi robotami prace remontowe.

Wynajem sprzętu z operatorem należy klasyfikować w zakresie niniejszego działu w  odpowiednich grupowaniach obejmujących roboty budowlane wykonywane przy jego użyciu","","","","43","This division includes specialised construction activities (special trades), i.e. the construction of parts of buildings and civil engineering works or preparation therefore. These activities are usually specialised in one aspect common to different structures, requiring specialised skills or equipment, such as pile-driving, foundation work, carcass work, concrete work, brick laying, stone setting, scaffolding, roof covering, etc. The erection of steel structures is included, provided that the parts are not produced by the same unit. Specialised construction activities are mostly carried out under subcontract, but especially in repair construction it is done directly for the owner of the property.

Also included are building finishing and building completion activities.

Included is the installation of all kind of utilities that make the construction function as such. These activities are usually performed at the site of the construction, although parts of the job may be carried out in a special shop. Included are activities such as plumbing, installation of heating and air-conditioning systems, antennas, alarm systems and other electrical work, sprinkler systems, elevators and escalators, etc. Also included are insulation work (water, heat, sound), sheet metal work, commercial refrigerating work, the installation of illumination and signalling systems for roads, railways, airports, harbours, etc. Also repair of the same type as the above mentioned activities is included.

Building completion activities encompass activities that contribute to the completion or finishing of a construction such as glazing, plastering, painting, floor and wall tiling or covering with other materials like parquet, carpets, wallpaper, etc., floor sanding, finish carpentry, acoustical work, cleaning of the exterior, etc. Also repair of the same type as the above mentioned activities is included.

The rental of equipment with operator is classified with the associated construction activity.","",""
"3","43.1","Rozbiórka i przygotowanie terenu pod budowę","Grupa ta obejmuje działalność związaną z przygotowaniem terenu pod budowę /prace budowlane/, włącznie z usuwaniem obiektów budowlanych.","","","","431","This group includes activities of preparing a site for subsequent construction activities, including the removal of previously existing structures.","",""
"4","43.11","Rozbiórka i burzenie obiektów budowlanych","Klasa ta obejmuje:
-    rozbiórkę i burzenie budynków i pozostałych obiektów budowlanych.","","","","4311","This class includes:
- demolition or wrecking of buildings and other structures","",""
"4","43.12","Przygotowanie terenu pod budowę","Klasa ta obejmuje:
-    oczyszczanie terenu budowy,
-    roboty ziemne związane z kopaniem rowów i wykopów, wyrównywaniem terenu,  usuwaniem kamieni, wyburzaniem metodą wybuchową itp.,
-    przygotowywanie terenów dla kopalnictwa odkrywkowego: usuwanie nadkładu oraz inne roboty ziemne na terenach zawierających złoża, z wyłączeniem terenów wydobycia ropy naftowej i gazu.","Klasa ta obejmuje także:
-    odwadnianie terenu budowy,
-    drenowanie terenów rolniczych i leśnych.","Klasa ta nie obejmuje:
-    wierceń eksploatacyjnych ropy naftowej i gazu ziemnego, sklasyfikowanych w 06.10 i 06.20,
-    odkażania gleby, sklasyfikowanego w 39.00,
-    wiercenia studni i ujęć wodnych, sklasyfikowanego w 42.21,
-    wiercenia szybów, sklasyfikowanego w 43.99.","","4312","This class includes:
- clearing of building sites
- earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting, etc.
- site preparation for mining:
  • overburden removal and other development and preparation of mineral properties and sites, except oil and gas sites","This class also includes:
- building site drainage
- drainage of agricultural or forestry land","This class excludes:
- drilling of production oil or gas wells, see 06.10, 06.20
- decontamination of soil, see 39.00
- water well drilling, see 42.21
- shaft sinking, see 43.99"
"4","43.13","Wykonywanie wykopów i wierceń geologiczno-inżynierskich","Klasa ta obejmuje:
-    wykopy i wiercenia próbne mające na celu badanie mechaniki gruntu dla celów budowlanych, geofizycznych, geologicznych i podobnych.","","Klasa ta nie obejmuje:
-    wierceń eksploatacyjnych ropy naftowej i gazu ziemnego, sklasyfikowanych w 06.10 i 06.20,
-    działalności usługowej wspomagającej górnictwo i wydobywanie, sklasyfikowanej w 09.90,
-    wiercenia studni i ujęć wodnych, sklasyfikowanego w 42.21,
-    wiercenia szybów, sklasyfikowanego w 43.99,
-    prowadzenia pomiarów geofizycznych, geologicznych i sejsmicznych, sklasyfikowanych w 71.12.","","4312","This class includes:
- test drilling, test boring and core sampling for construction, geophysical, geological or similar purposes","","This class excludes:
- drilling of production oil or gas wells, see 06.10, 06.20
- test drilling and boring support services during mining activities, see 09.90
- water well drilling, see 42.21
- shaft sinking, see 43.99
- oil and gas field exploration, geophysical, geological and seismic surveying, see 71.12"
"3","43.2","Wykonywanie instalacji elektrycznych, wodno-kanalizacyjnych i pozostałych instalacji budowlanych","Grupa ta obejmuje wykonywanie instalacji wspomagających funkcjonowanie budynku, włącznie z instalacjami systemów elektrycznych, wodno-kanalizacyjnymi i gazowymi, grzewczymi i klimatyzacyjnymi, wind itp.","","","","432","This group includes installation activities that support the functioning of a building as such, including installation of electrical systems, plumbing (water, gas and sewage systems), heat and air-conditioning systems, elevators etc.","",""
"4","43.21","Wykonywanie instalacji elektrycznych","Klasa ta obejmuje wykonywanie instalacji elektrycznych we wszelkiego rodzaju budynkach i budowlach, takich jak:
-    instalacje telekomunikacyjne,
-    strukturalne sieci komputerowe i instalacje dla telewizji kablowej, włącznie ze światłowodami,
-    instalacje anten satelitarnych,
-    instalacje oświetleniowe, włączając oświetlenie ulic, sygnalizację świetlną oraz oświetlenie pasów startowych,
-    instalacje alarmowe: przeciwpożarowe, przeciwwłamaniowe itp.,
- elektryczne kolektory energii słonecznej.","Klasa ta obejmuje także wykonywanie :
-    instalacji dla elektrycznych urządzeń i sprzętu gospodarstwa domowego, włączając ogrzewanie podłogowe.","Klasa ta nie obejmuje:
-    budowy linii telekomunikacyjnych i elektroenergetycznych, przesyłowych i rozdzielczych, sklasyfikowanej w 42.22,
-    monitorowania i zdalnego monitorowania elektronicznych systemów ochrony, takich jak: alarmy przeciwwłamaniowe oraz przeciwpożarowe (włącznie z ich instalowaniem i konserwacją), sklasyfikowanego w 80.20.","","4321","This class includes the installation of electrical systems in all kinds of buildings and civil engineering structures of electrical systems.

This class includes:
- installation of:
  • electrical wiring and fittings
  • telecommunications wiring
  • computer network and cable television wiring, including fibre optic
  • satellite dishes
  • lighting systems
  • fire alarms
  • burglar alarm systems
  • street lighting and electrical signals
  • airport runway lighting
  • electric solar energy collectors","This class also includes:
- connecting of electric appliances and household equipment, including baseboard heating","This class excludes:
- construction of communications and power transmission lines, see 42.22
- monitoring and remote monitoring of electronic security systems, such as burglar alarms and fire alarms, including their installation and maintenance, see 80.20"
"4","43.22","Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych i klimatyzacyjnych","Klasa ta obejmuje wykonywanie instalacji wodno-   kanalizacyjnych, cieplnych, gazowych, klimatyzacyjnych.

Klasa ta obejmuje wykonywanie w budynkach i budowlach:
-    instalacji systemów grzewczych (elektrycznych, gazowych i olejowych),
-    instalacji pieców, wieży chłodniczej,
-    instalacji nieelektrycznych kolektorów słonecznych,
-    instalacji wodno-   kanalizacyjnych i sanitarnych,
-    instalacji wentylacyjnych, klimatyzacyjnych,
-    instalacji gazowych,
-    instalacji przewodów doprowadzających parę,
-    instalacji przeciwpożarowych systemów zraszających,
-    instalacji systemów zraszania trawników,
-    instalacji przewodów.","","Klasa ta nie obejmuje:
-    wykonywania instalacji elektrycznego ogrzewania podłogowego, sklasyfikowanej w 43.21.","","4322","This class includes the installation of plumbing, heating and air-conditioning systems, including additions, alterations, maintenance and repair.

This class includes:
- installation in buildings or other construction projects of:
  • heating systems (electric, gas and oil)
  • furnaces, cooling towers
  • non-electric solar energy collectors
  • plumbing and sanitary equipment
  • ventilation and air-conditioning equipment and ducts
  • gas fittings
  • steam piping
  • fire sprinkler systems
  • lawn sprinkler systems
- duct work installation","","This class excludes:
- installation of electric baseboard heating, see 43.21"
"4","43.29","Wykonywanie pozostałych instalacji budowlanych","Klasa ta obejmuje wykonywanie pozostałych instalacji budowlanych, z wyłączeniem instalacji elektrycznych, wodno-   kanalizacyjnych, grzewczych, klimatyzacyjnych oraz instalowania maszyn przemysłowych w budynkach i budowlach.

Klasa ta obejmuje instalowanie w budynkach i budowlach:
-    dźwigów osobowych i towarowych, schodów ruchomych, włączając naprawy i konserwacje,
-    drzwi automatycznych oraz obrotowych,
-    instalacji odgromowej,
-    podciśnieniowych systemów czyszczących,
-    izolacji termicznej, akustycznej i przeciwwstrząsowej.","","Klasa ta nie obejmuje:
-    instalowania maszyn przemysłowych, sklasyfikowanego w 33.20.","","4329","This class includes the installation of equipment other than electrical, plumbing, heating and air-conditioning systems or industrial machinery in buildings and civil engineering structures.

This class includes:
- installation in buildings or other construction projects of:
  • elevators, escalators, including repair and maintenance
  • automated and revolving doors
  • lightning conductors
  • vacuum cleaning systems
  • thermal, sound or vibration insulation","","This class excludes:
- installation of industrial machinery, see 33.20"
"3","43.3","Wykonywanie robót budowlanych wykończeniowych","","","","","433","","",""
"4","43.31","Tynkowanie","Klasa ta obejmuje:
-    wykonywanie w budynkach i budowlach tynków lub sztukaterii wewnętrznych i zewnętrznych, włączając zakładanie siatek i listew podtynkowych.","","","","4330","This class includes:
- application in buildings or other construction projects of interior and exterior plaster or stucco, including related lathing materials","",""
"4","43.32","Zakładanie stolarki budowlanej","Klasa ta obejmuje:
-    instalowanie drzwi (z wyłączeniem drzwi automatycznych i obrotowych), okien, futryn okiennych i drzwiowych, z drewna i innych materiałów,
-    wyposażanie pomieszczeń w meble wbudowane: meble kuchenne, kredensy, szafy wnękowe, meble sklepowe i inne elementy wbudowywane,
-    wykańczanie wnętrz w zakresie sufitów, ruchomych ścianek działowych itp.","","Klasa ta nie obejmuje:
-    instalowania drzwi automatycznych i obrotowych, sklasyfikowanego 43.29.","","4330","This class includes:
- installation of doors (except automated and revolving), windows, door and window frames, of wood or other materials
- installation of fitted kitchens, built-in cupboards, staircases, shop fittings and the like
- interior completion such as ceilings, movable partitions, etc.","","This class excludes:
- installation of automated and revolving doors, see 43.29"
"4","43.33","Posadzkarstwo; tapetowanie i oblicowywanie ścian","Klasa ta obejmuje:
-    układanie ceramicznych, betonowych lub kamiennych płytek podłogowych i ściennych, ceramicznej obudowy pieców,
-    układanie parkietów oraz innych drewnianych pokryć podłogowych i ściennych,
-    układanie pokryć dywanowych, linoleum, wykładzin gumowych i z tworzyw sztucznych,
-    wykładanie ścian i podłóg lastryko, marmurem, granitem lub łupkiem,
-    tapetowanie ścian.","","","","4330","This class includes:
- laying, tiling, hanging or fitting in buildings or other construction projects of:
  • ceramic, concrete or cut stone wall or floor tiles, ceramic stove fitting
  • parquet and other wooden floor coverings, wooden wall coverings
  • carpets and linoleum floor coverings, including of rubber or plastic
  • terrazzo, marble, granite or slate floor or wall coverings
  • wallpaper","",""
"4","43.34","Malowanie i szklenie"," Klasa ta obejmuje:
-    wewnętrzne i zewnętrzne malowanie budynków,
-    malowanie obiektów inżynierii lądowej i wodnej,
-    instalowanie pokryć szklanych, luster itp.","","Klasa ta nie obejmuje:
-    instalowania okien, sklasyfikowanego w 43.32.","","4330","This class includes:
- interior and exterior painting of buildings
- painting of civil engineering structures
- installation of glass, mirrors, etc.","","This class excludes:
- installation of windows, see 43.32"
"4","43.39","Wykonywanie pozostałych robót budowlanych wykończeniowych"," Klasa ta obejmuje:
-    czyszczenie nowych budynków po zakończeniu budowania,
-    roboty budowlane wykończeniowe pozostałe, gdzie indziej niesklasyfikowane.","","Klasa ta nie obejmuje:
-    działalności dekoratorów wnętrz, sklasyfikowanej w 74.10,
-    niespecjalistycznego sprzątania wnętrz budynków i budowli, sklasyfikowanego w 81.21,
-    wewnętrznego i zewnętrznego specjalistycznego czyszczenia budynków, sklasyfikowanego w 81.22.","","4330","This class includes:
- cleaning of new buildings after construction
- other building completion and finishing work n.e.c.","","This class excludes:
- activities of interior decoration designers, see 74.10
- general interior cleaning of buildings and other structures, see 81.21
- specialised interior and exterior cleaning of buildings, see 81.22"
"3","43.9","Roboty budowlane specjalistyczne pozostałe","","","","","439","","",""
"4","43.91","Wykonywanie konstrukcji i pokryć dachowych","Klasa ta obejmuje:
-    wykonywanie konstrukcji i pokryć dachowych,
-    pokrywanie dachów,
-    instalowanie rynien i rur spustowych.","","Klasa ta nie obejmuje:
- wynajmu i dzierżawy maszyn i urządzeń budowlanych bez operatora , sklasyfikowanych w 77.32.","","4390","This class includes:
- erection of roofs
- roof covering","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32"
"4","43.99","Roboty budowlane specjalistyczne pozostałe, gdzie indziej niesklasyfikowane","Klasa ta obejmuje
-    działalność budowlaną wymagającą specjalistycznych umiejętności lub sprzętu:
 •     budowa fundamentów, włączając wbijanie pali,
 •     zakładanie izolacji przeciwwilgociowych i wodochronnych,
 •     osuszanie budynków,
 •     wiercenie szybów,
 •     montaż elementów stalowych,
 •     wyginanie elementów stalowych,
 •     montowanie i demontowanie rusztowań i platform roboczych, z wyłączeniem ich wynajmowania,
 •     wznoszenie konstrukcji z cegieł i kamienia,
 •     wznoszenie kominów i pieców przemysłowych,
 •     specjalistyczne roboty budowlane wymagające umiejętności wspinaczkowych i zastosowania specjalnego sprzętu, np. do prac na wysokościach,
-    roboty podpowierzchniowe,
-    budowę odkrytych basenów kąpielowych,
-    czyszczenie zewnętrznych ścian budynku za pomocą pary wodnej, piaskowania i podobnych metod,
-    wynajem dźwigów i innego sprzętu budowlanego wraz z obsługą operatorską, które nie są przeznaczone do określonych rodzajów budowli.","","Klasa ta nie obejmuje:
-    wynajmu maszyn i urządzeń budowlanych bez operatora, sklasyfikowanego w 77.32.","","4390","This class includes:
- construction activities specialising in one aspect common to different kind of structures, requiring specialised skill or equipment:
  • construction of foundations, including pile driving
  • damp proofing and water proofing works
  • de-humidification of buildings
  • shaft sinking
  • erection of steel elements
  • steel bending
  • bricklaying and stone setting
  • scaffolds and work platform erecting and dismantling, excluding rental of scaffolds and work platforms
  • erection of chimneys and industrial ovens
  • work with specialist access requirements necessitating climbing skills and the use of related equipment, e.g. working at height on tall structures
- subsurface work
- construction of outdoor swimming pools
- steam cleaning, sand blasting and similar activities for building exteriors
- rental of cranes and other building equipment, which cannot be allocated to a specific construction type, with operator","","This class excludes:
- rental of construction machinery and equipment without operator, see 77.32"
