"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA","Esta sección comprende el aprovechamiento de los recursos naturales vegetales y animales, incluyendo las actividades de producción agrícola, cría y reproducción de animales, recolección de madera y de otras plantas y animales en una explotación o su hábitat natural.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","33.12","Reparación de maquinaria","Esta clase comprende la reparación y el mantenimiento de maquinaria y equipo industrial, como el afilado o la instalación de hojas y sierras en maquinaria de uso industrial y profesional, o la provisión de servicios de reparación mediante soldadura (p. ej., de automóviles); la reparación de maquinaria y equipos agrícolas, así como de otra maquinaria y equipos pesados e industriales (p. ej., carretillas elevadoras y otros equipos de manejo de materiales, máquinas herramienta, equipos de refrigeración industrial, equipos de construcción y maquinaria de industrias extractivas), incluidos la maquinaria y los equipos de la división 28.

Esta clase comprende:
- la reparación y el mantenimiento de motores, excepto de automoción
- la reparación y el mantenimiento de bombas, compresores y equipos análogos
- la reparación de válvulas
- la reparación de órganos mecánicos de transmisión
- la reparación y el mantenimiento de hornos de procesos industriales
- la reparación y el mantenimiento de equipos de elevación y manipulación
- la reparación y el mantenimiento de equipos de refrigeración industrial y de depuración del aire
- la reparación y el mantenimiento de maquinaria industrial de uso general
- la reparación de herramientas manuales eléctricas
- la reparación y el mantenimiento de máquinas herramienta y sus accesorios empleados en el corte y el trabajo de los metales
- la reparación y el mantenimiento de otras máquinas herramienta
- la reparación y el mantenimiento de tractores agrícolas
- la reparación y el mantenimiento de maquinaria agropecuaria y forestal
- la reparación y el mantenimiento de maquinaria para la industria metalúrgica
- la reparación y el mantenimiento de maquinaria para las industrias extractivas, la construcción y los yacimientos de petróleo y gas
- la reparación y el mantenimiento de maquinaria para la industria de la alimentación, bebidas y tabaco
- la reparación y el mantenimiento de maquinaria para las industrias textil, de la confección y del cuero
- la reparación y el mantenimiento de maquinaria para la industria papelera
- la reparación y el mantenimiento de maquinaria para la industria del plástico y el caucho
- la reparación y el mantenimiento de otra maquinaria para usos específicos de la división 28
- la reparación y el mantenimiento de equipos para pesar
- la reparación y el mantenimiento de máquinas expendedoras automáticas
- la reparación y el mantenimiento de cajas registradoras
- la reparación y el mantenimiento de fotocopiadoras
- la reparación de calculadoras, electrónicas o no
- la reparación de máquinas de escribir","","Esta clase no comprende:
- la instalación, la reparación y el mantenimiento de hornos y otros equipos de calefacción (véase 43.22)
- la instalación, la reparación y el mantenimiento de ascensores y escaleras mecánicas (véase 43.29)
- la reparación de ordenadores (véase 95.11)","","3312","This class includes the repair and maintenance of industrial machinery and equipment like sharpening or installing commercial and industrial machinery blades and saws; the provision of welding (e.g. automotive, general) repair services; the repair of agricultural and other heavy and industrial machinery and equipment (e.g. forklifts and other materials handling equipment, machine tools, commercial refrigeration equipment, construction equipment and mining machinery), including machinery and equipment of division 28.

This class includes:
- repair and maintenance of non-motor vehicle engines
- repair and maintenance of pumps, compressors and related equipment
- repair and maintenance of fluid power machinery
- repair of valves
- repair of gearing and driving elements
- repair and maintenance of industrial process furnaces
- repair and maintenance of lifting and handling equipment
- repair and maintenance of industrial refrigeration equipment and air purifying equipment
- repair and maintenance of commercial-type general-purpose machinery
- repair of power-driven hand-tools
- repair and maintenance of metal cutting and metal forming machine tools and accessories
- repair and maintenance of other machine tools
- repair and maintenance of agricultural tractors
- repair and maintenance of agricultural machinery and forestry and logging machinery
- repair and maintenance of metallurgy machinery
- repair and maintenance of mining, construction, and oil and gas field machinery
- repair and maintenance of food, beverage, and tobacco processing machinery
- repair and maintenance of textile apparel, and leather production machinery
- repair and maintenance of papermaking machinery
- repair and maintenance of plastic and rubber machinery
- repair and maintenance of other special-purpose machinery of division 28
- repair and maintenance of weighing equipment
- repair and maintenance of vending machines
- repair and maintenance of cash registers
- repair and maintenance of photocopy machines
- repair of calculators, electronic or not
- repair of typewriters","","This class excludes:
- installation, repair and maintenance of furnaces and other heating equipment, see 43.22
- installation, repair and maintenance of elevators and escalators, see 43.29
- repair of computers, see 95.11"
"4","33.13","Reparación de equipos electrónicos y ópticos","Esta clase comprende la reparación y el mantenimiento de los bienes producidos en los grupos 26.5, 26.6 y 26.7, a excepción de aquellos que se consideran enseres domésticos.

Esta clase comprende:
- la reparación y el mantenimiento de los equipos de medición, comprobación, navegación y control del grupo 26.5, como:
• instrumentos para motores de aviación
• equipos de comprobación de emisiones de automoción
• instrumentos meteorológicos
• equipos de comprobación e inspección de propiedades físicas, eléctricas y químicas
• instrumentos de geodesia
• instrumentos de detección y vigilancia de radiaciones
- la reparación de equipos de radiación, electromédicos y electroterapéuticos de la clase 26.60, como:
• equipos de resonancia magnética
• equipos médicos de ultrasonidos
• marcapasos
• audífonos
• electrocardiógrafos
• equipos endoscópicos electromédicos
• aparatos de radiación
- la reparación de equipos e instrumentos ópticos de la clase 26.70, si su uso es principalmente profesional, como:
• prismáticos
• microscopios (excepto microscopios de electrones y de protones)
• telescopios
• prismas y lentes (excepto oftálmicas)
• equipo fotográfico","","Esta clase no comprende:
- la reparación y el mantenimiento de fotocopiadoras (véase 33.12)
- la reparación y el mantenimiento de ordenadores y periféricos (véase 95.11)
- la reparación y el mantenimiento de proyectores informáticos (véase 95.11)
- la reparación y el mantenimiento de equipos de comunicación (véase 95.12)
- la reparación y el mantenimiento de cámaras de televisión y vídeo de uso profesional (véase 95.12)
- la reparación de videocámaras de uso doméstico (véase 95.21)
- la reparación de relojes de todo tipo (véase 95.25)","","3313","This class includes the repair and maintenance of goods produced in groups 26.5, 26.6 and 26.7, except those that are considered household goods.

This class includes:
- repair and maintenance of the measuring, testing, navigating and control equipment of group 26.5, such as:
  • aircraft engine instruments
  • automotive emissions testing equipment
  • meteorological instruments
  • physical, electrical and chemical properties testing and inspection equipment
  • surveying instruments
  • radiation detection and monitoring instruments
- repair and maintenance of irradiation, electromedical and electrotherapeutic equipment of class 26.60, such as:
  • magnetic resonance imaging equipment
  • medical ultrasound equipment
  • pacemakers
  • hearing aids
  • electrocardiographs
  • electromedical endoscopic equipment
  • irradiation apparatus
- repair and maintenance of optical instruments and equipment of class 26.70, if the use is mainly commercial, such as:
  • binoculars
  • microscopes (except electron and proton microscopes)
  • telescopes
  • prisms and lenses (except ophthalmic)
  • photographic equipment","","This class excludes:
- repair and maintenance of photocopy machines, see 33.12
- repair and maintenance of computers and peripheral equipment, see 95.11
- repair and maintenance of computer projectors, see 95.11
- repair and maintenance of communication equipment, see 95.12
- repair and maintenance of commercial TV and video cameras, see 95.12
- repair of household-type video cameras, see 95.21
- repair of watches and clocks, see 95.25"
"4","33.14","Reparación de equipos eléctricos","Esta clase comprende la reparación y el mantenimiento de los productos de la división 27, excepto de aquéllos incluidos en el grupo 27.5 (aparatos domésticos).

Esta clase comprende:
- la reparación y el mantenimiento de transformadores eléctricos y de distribución
- la reparación y el mantenimiento de motores y generadores eléctricos y grupos electrógenos
- la reparación y el mantenimiento de aparatos y cuadros de conmutación
- la reparación y el mantenimiento de relés y controles industriales
- la reparación y el mantenimiento de baterías primarias y de almacenamiento
- la reparación y el mantenimiento de equipos de alumbrado eléctrico
- la reparación y el mantenimiento de dispositivos de cableado portador o no de corriente para circuitos eléctricos","","Esta clase no comprende:
- la reparación y el mantenimiento de ordenadores y periféricos (véase 95.11)
- la reparación y el mantenimiento de equipos de telecomunicación (véase 95.12)
- la reparación y el mantenimiento de productos de electrónica de consumo (véase 95.21)
- la reparación de relojes (véase 95.25)","","3314","This class includes the repair and maintenance of goods of division 27, except those in class group 27.5 (domestic appliances).

This class includes:
- repair and maintenance of power, distribution, and specialty transformers
- repair and maintenance of electric motors, generators, and motor generator sets
- repair and maintenance of switchgear and switchboard apparatus
- repair and maintenance of relays and industrial controls
- repair and maintenance of primary and storage batteries
- repair and maintenance of electric lighting equipment
- repair and maintenance of current-carrying wiring devices and non current-carrying wiring devices for wiring electrical circuits","","This class excludes:
- repair and maintenance of computers and peripheral computer equipment, see 95.11
- repair and maintenance of telecommunications equipment, see 95.12
- repair and maintenance of consumer electronics, see 95.21
- repair of watches and clocks, see 95.25"
"4","33.15","Reparación y mantenimiento naval","Esta clase comprende la reparación y el mantenimiento de barcos. No obstante, la reconstrucción o revisión de embarcaciones en fábrica se clasifica en la división 30.

Esta clase comprende:
- la reparación y el mantenimiento rutinario de barcos
- la reparación y el mantenimiento de embarcaciones de recreo","","Esta clase no comprende:
- la transformación de embarcaciones en fábrica (véase 30.1)
- la reparación de motores de barcos (véase 33.12)
- el desguace naval ( véase 38.31)","","3315","This class includes the repair and maintenance of ships and boats. However, the factory rebuilding or overhaul of ships is classified in division 30.

This class includes:
- repair and routine maintenance of ships
- repair and maintenance of pleasure boats","","This class excludes:
- factory conversion of ships, see 30.1
- repair of ship and boat engines, see 33.12
- ship scrapping, dismantling, see 38.31"
"4","33.16","Reparación y mantenimiento aeronáutico y espacial","Esta clase comprende la reparación y el mantenimiento de aeronaves y naves espaciales.

Esta clase comprende:
- la reparación y el mantenimiento de aeronaves (a excepción de la transformación, la revisión o la reconstrucción en fábrica)
- la reparación y el mantenimiento de motores de aviación","","Esta clase no comprende:
- la revisión y reconstrucción de aeronaves en fábrica (véase 30.30)","","3315","This class includes the repair and maintenance of aircraft and spacecraft.

This class includes:
- repair and maintenance of aircraft (except factory conversion, factory overhaul, factory rebuilding)
- repair and maintenance of aircraft engines","","This class excludes:
- factory overhaul and rebuilding of aircraft, see 30.30
- factory overhaul of aircraft engines, see 30.30"
"4","33.17","Reparación y mantenimiento de otro material de transporte","Esta clase comprende la reparación y el mantenimiento de otro material de transporte de la división 30, a excepción de las motocicletas y bicicletas.

Esta clase comprende:
- la reparación y el mantenimiento de locomotoras y vagones ferroviarios (excepto las tareas de reconstrucción o transformación en fábrica)
- la reparación de calesas y carros de tracción animal","","Esta clase no comprende:
- la revisión y reconstrucción en fábrica de locomotoras y vagones ferroviarios (véase 30.20)
- la reparación y mantenimiento de vehículos militares de combate (véase 30.40)
- la reparación y el mantenimiento de carros de supermercado (véase 33.11)
- la reparación de motores para ferrocarril (véase 33.12)
- la reparación y el mantenimiento de motocicletas (véase 45.40)
- la reparación de bicicletas (véase 95.29)","Shopping carts (Repair and maintenance of…)

Problem statement: Shopping carts are manufactured in division 30 and subsequently the repair and maintenance should be in 33.17 (and not in 33.11).

Solution: ISIC 3311 (NACE 33.11): Delete inclusion ""- repair and maintenance of shopping carts"". They are produced in ISIC 3099 (NACE 30.99) and their repair should be in ISIC Rev.4 class 3315 (NACE 33.17). Delete the exclusion in ISIC 3315 (NACE 33.17).

Decision date: 12.08.2008","3315","This class includes the repair and maintenance of other transport equipment of division 30, except motorcycles and bicycles.

This class includes:
- repair and maintenance of locomotives and railroad cars (except factory rebuilding or factory conversion)
- repair of animal drawn buggies and wagons","","This class excludes:
- factory overhaul and rebuilding of locomotives and railroad cars, see 30.20
- repair and maintenance of military fighting vehicles, see 30.40
- repair and maintenance of shopping carts, see 33.11
- repair and maintenance of railway engines, see 33.12
- repair and maintenance of motorcycles, see 45.40
- repair of bicycles, see 95.29"
"4","33.19","Reparación de otros equipos","Esta clase comprende la reparación y el mantenimiento de equipos no incluidos en otros grupos de la presente división.

Esta clase comprende:
- la reparación de redes para pescar, incluido su remiendo
- la reparación de cuerdas, jarcias, velamen y lonas
- la reparación de bolsas para el almacenamiento de fertilizantes y productos químicos
- la reparación o reacondicionamiento de toneles, barriles y palets de madera, así como de artículos análogos
- la reparación de máquinas pinball y otros juegos accionados con monedas
- la restauración de órganos y otros instrumentos musicales históricos","","Esta clase no comprende:
- la reparación de mobiliario doméstico y de oficina, la restauración de muebles (véase 95.24)
- la reparación de bicicletas (véase 95.29)
- la reparación y arreglo de prendas de vestir (véase 95.29)","","3319","This class includes the repair and maintenance of equipment not covered in other groups of this division.

This class includes:
- repair of fishing nets, including mending
- repair or ropes, riggings, canvas and tarpaulins
- repair of fertiliser and chemical storage bags
- repair or reconditioning of wooden pallets, shipping drums or barrels, and similar items
- repair of pinball machines and other coin-operated games
- restoring of organs and other historical musical instruments","","This class excludes:
- repair of household and office type furniture, furniture restoration, see 95.24
- repair of bicycles, see 95.29
- repair and alteration of clothing, see 95.29"
"3","33.2","Instalación de máquinas y equipos industriales","","","","","332","","",""
"4","33.20","Instalación de máquinas y equipos industriales","Esta clase comprende la instalación especializada de maquinaria. No obstante, la instalación de equipos que constituyen una parte integral de edificios o estructuras similares, como la instalación de escaleras mecánicas, cableado eléctrico, sistemas de alarma contra robos o sistemas de aire acondicionado, se clasifica como construcción.

Esta clase comprende:
- la instalación de maquinaria industrial en plantas industriales
- el montaje de equipos de control de procesos industriales
- la instalación de otros equipos industriales, por ejemplo:
• equipos de comunicaciones
• mainframes y ordenadores similares
• equipos de radiación y electromédicos, etc.
- el desmontaje de maquinaria y equipos de gran escala
- las actividades de los mecánicos comprobadores de maquinaria
- el montaje de maquinaria
- la instalación de equipos para boleras automáticas","","Esta clase no comprende:
- la instalación de ascensores, escaleras mecánicas, puertas automáticas, sistemas de limpieza por vacío, etc. (véase 43.29)
- la instalación de puertas, escaleras, muebles comerciales, mobiliario, etc. (véase 43.32)
- la instalación (montaje) de ordenadores personales (véase 62.09)","","3320","This class includes the specialised installation of machinery. However, the installation of equipment that forms an integral part of buildings or similar structures, such as installation of escalators, electrical wiring, burglar alarm systems or air-conditioning systems, is classified as construction.

This class includes:
- installation of industrial machinery in industrial plant
- assembling of industrial process control equipment
- installation of other industrial equipment, e.g.:
  • communications equipment
  • mainframe and similar computers
  • irradiation and electromedical equipment etc.
- dismantling large-scale machinery and equipment
- activities of millwrights
- machine rigging
- installation of bowling alley equipment","","This class excludes:
- installation of elevators, escalators, automated doors, vacuum cleaning systems etc., see 43.29
- installation of doors, staircases, shop fittings, furniture etc., see 43.32
- installation (setting-up) of personal computers, see 62.09"
"1","D","SUMINISTRO DE ENERGIA ELECTRICA, GAS, VAPOR Y AIRE ACONDICIONADO","Esta sección comprende las actividades de suministro de energía eléctrica, gas natural, vapor, agua caliente y similares mediante una infraestructura permanente (red) de líneas, conducciones y tuberías. La dimensión de la red no es decisiva; incluye también la distribución de energía eléctrica, gas, vapor, agua caliente y similares en parques industriales o bloques residenciales.

Por tanto, esta sección comprende la explotación de redes de suministro de energía eléctrica y gas que generan, controlan y distribuyen energía eléctrica o gas.","Comprende también el suministro de vapor y aire acondicionado.","Esta sección no comprende la explotación de redes de suministro de agua y de alcantarillado (véase 36, 37). Tampoco comprende el transporte (por lo general de larga distancia) de gas por tubería.","","D","This section includes the activity of providing electric power, natural gas, steam, hot water and the like through a permanent infrastructure (network) of lines, mains and pipes. The dimension of the network is not decisive; also included are the distribution of electricity, gas, steam, hot water and the like in industrial parks or residential buildings.

This section therefore includes the operation of electric and gas utilities, which generate, control and distribute electric power or gas.","Also included is the provision of steam and air-conditioning supply.","This section excludes the operation of water and sewerage utilities, see 36, 37. This section also excludes the (typically long-distance) transport of gas through pipelines."
"2","35","Suministro de energía eléctrica, gas, vapor y aire acondicionado","","","","","35","","",""
"3","35.1","Producción, transporte y distribución de energía eléctrica","Este grupo comprende la producción de energía eléctrica, el transporte desde las instalaciones de generación hasta los centros de distribución, y la distribución a los usuarios finales.","","","","351","This group includes the generation of bulk electric power, transmission from generating facilities to distribution centres and distribution to end users.","",""
"4","35.11","Producción de energía eléctrica","Esta clase comprende:
- la explotación de las instalaciones de generación de energía eléctrica, incluidas las energías térmica, nuclear, hidroeléctrica, por turbina de gas, diesel y de fuentes renovables","","Esta clase no comprende:
- la producción de electricidad a partir de la incineración de residuos (véase 38.21)","","3510","This class includes:
- operation of generation facilities that produce electric energy; including thermal, nuclear, hydroelectric, gas turbine, diesel and renewable","","This class excludes:
- production of electricity through incineration of waste, see 38.21"
"4","35.12","Transporte de energía eléctrica","Esta clase comprende:
- la explotación de los sistemas de transporte de la energía eléctrica desde la instalación de generación a la red de distribución","","","","3510","This class includes:
- operation of transmission systems that convey the electricity from the generation facility to the distribution system","",""
"4","35.13","Distribución de energía eléctrica","Esta clase comprende:
- la explotación de las redes de distribución (que constan de líneas, torres, contadores y cableado) que transportan la energía eléctrica recibida de la instalación de generación o el sistema de transporte hasta el consumidor","","","","3510","This class includes:
- operation of distribution systems (i.e., consisting of lines, poles, meters, and wiring) that convey electric power received from the generation facility or the transmission system to the final consumer","",""
"4","35.14","Comercio de energía eléctrica","Esta clase comprende:
- la venta al usuario de la energía eléctrica
- las actividades de los intermediarios de la energía eléctrica que gestionan la venta de energía eléctrica a través de las redes de distribución operadas por otros
- la explotación de los mercados de electricidad y capacidad de transporte para energía eléctrica","","","","3510","This class includes:
- sale of electricity to the user
- activities of electric power brokers or agents that arrange the sale of electricity via power distribution systems operated by others
- operation of electricity and transmission capacity exchanges for electric power","",""
"3","35.2","Producción de gas; distribución por tubería de combustibles gaseosos","Este grupo comprende la producción de gas y la distribución de gas natural o sintético hasta el consumidor a través de un sistema de tuberías. Comprende los proveedores o intermediarios de gas que conciertan la venta de gas natural por sistemas de distribución explotados por terceros.
La explotación independiente de los gasoductos, que suele hacerse en redes de larga distancia, que conectan a productores y distribuidores de gas, o entre centros urbanos, queda excluida de este grupo y se incluye con otras actividades de transporte por tubería.","","","","352","This group includes the manufacture of gas and the distribution of natural or synthetic gas to the consumer through a system of mains. Gas marketers or brokers, which arrange the sale of natural gas over distribution systems operated by others, are included.

The separate operation of gas pipelines, typically done over long distances, connecting producers with distributors of gas, or between urban centres, is excluded from this group and classified with other pipeline transport activities.","",""
"4","35.21","Producción de gas","Esta clase comprende:
- la producción de gas con fines de suministro de gas por carbonación de hulla o a partir de subproductos agrícolas o de desechos
- la producción de combustibles gaseosos de valor calórico específico, mediante purificación, mezcla y otros procesos, a partir de gases de diversos orígenes, incluido el gas natural","","Esta clase no comprende:
- la producción de gas natural crudo (véase 06.20)
- la explotación de coquerías (véase 19.10)
- la fabricación de productos de refino del petróleo (véase 19.20)
- la fabricación de gases industriales (véase 20.11)","","3520","This class includes:
- production of gas for the purpose of gas supply by carbonation of coal, from by-products of agriculture or from waste
- manufacture of gaseous fuels with a specified calorific value, by purification, blending and other processes from gases of various types including natural gas","","This class excludes:
- production of crude natural gas, see 06.20
- operation of coke ovens, see 19.10
- manufacture of refined petroleum products, see 19.20
- manufacture of industrial gases, see 20.11"
"4","35.22","Distribución por tubería de combustibles gaseosos","Esta clase comprende:
- la distribución y el suministro de combustibles gaseosos de cualquier tipo por un sistema de tuberías","","Esta clase no comprende:
- el transporte (de larga distancia) de gases por gasoductos (véase 49.50)","","3520","This class includes:
- distribution and supply of gaseous fuels of all kinds through a system of mains","","This class excludes:
- (long-distance) transportation of gases by pipelines, see 49.50"
"4","35.23","Comercio de gas por tubería","Esta clase comprende:
- la venta de gas al usuario por tuberías
- las actividades de los intermediarios de gas que gestionan la venta de gas a través de las redes de distribución operadas por otros
- la explotación de los mercados de gas y capacidad de transporte para combustibles gaseosos","","Esta clase no comprende:
- el comercio al por mayor de combustibles gaseosos (véase 46.71)
- el comercio al por menor de gas embotellado (véase 47.78)
- la venta directa de combustible (véase 47.99)","","3520","This class includes:
- sale of gas to the user through mains
- activities of gas brokers or agents that arrange the sale of gas over gas distribution systems operated by others
- commodity and transport capacity exchanges for gaseous fuels","","This class excludes:
- wholesale of gaseous fuels, see 46.71
- retail sale of bottled gas, see 47.78
- direct selling of fuel, see 47.99"
"3","35.3","Suministro de vapor y aire acondicionado","","","","","353","","",""
"4","35.30","Suministro de vapor y aire acondicionado","Esta clase comprende:
- la producción, captación y distribución de vapor y agua caliente para calefacción, energía u otros fines
- la producción y distribución de aire refrigerado
- la producción y distribución de agua fría con fines de refrigeración
- la producción de hielo, incluyendo tanto para consumo humano como con otros fines (por ejemplo, refrigeración)","","","","3530","This class includes:
- production, collection and distribution of steam and hot water for heating, power and other purposes
- production and distribution of cooled air
- production and distribution of chilled water for cooling purposes
- production of ice, for food and non-food (e.g. cooling) purposes","",""
"1","E","SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GESTIÓN DE RESIDUOS Y DESCONTAMINACIÓN","Estas sección comprende actividades relacionadas con la gestión (incluidos la captación, el tratamiento y la eliminación) de diversos tipos de desechos, como los residuos sólidos o no sólidos procedentes de los hogares o la industria, así como de lugares contaminados. El producto que resulta del tratamiento de los residuos o aguas residuales puede o bien eliminarse o ser la base para otros procesos de producción. En esta sección están agrupadas también las actividades de suministro de agua, puesto que suelen efectuarse en conexión con, o por unidades que intervienen también en el tratamiento de aguas residuales.","","","","E","This section includes activities related to the management (including collection, treatment and disposal) of various forms of waste, such as solid or non-solid industrial or household waste, as well as contaminated sites. The output of the waste or sewage treatment process can either be disposed of or become an input into other production processes.","Activities of water supply are also grouped in this section, since they are often carried out in connection with, or by units also engaged in, the treatment of sewage.",""
"2","36","Captación, depuración y distribución de agua","Esta división comprende la captación, el tratamiento y la distribución de agua para necesidades domésticas e industriales. Comprende la captación de agua de diversas fuentes, así como la distribución por distintos medios.","","","","36","This division includes the collection, treatment and distribution of water for domestic and industrial needs. Collection of water from various sources, as well as distribution by various means is included.","",""
"3","36.0","Captación, depuración y distribución de agua","","","","","360","","",""
"4","36.00","Captación, depuración y distribución de agua","Esta clase comprende la captación, el tratamiento y la distribución de agua para necesidades domésticas e industriales. Comprende la captación de agua de diversas fuentes, así como la distribución por distintos medios. Comprende también la explotación de canales de riego; ahora bien, no comprende la prestación de servicios de riego por aspersión automática y otros servicios de apoyo a la agricultura similares.

Esta clase comprende:
- la captación de agua de ríos, lagos, pozos, etc.
- la captación de agua de lluvia
- la purificación de aguas para el suministro de agua
- el tratamiento de aguas para uso industrial y otros usos
- la desalinización de agua de mar o de aguas subterráneas para obtener agua como producto principal
- la distribución de agua por tuberías, realizada en camión u otros medios
- la explotación de canales de riego","","Esta clase no comprende:
- la explotación de equipos de riego para fines agrícolas (véase 01.61)
- el tratamiento de aguas residuales para impedir la contaminación (véase 37.00)
- el transporte (de larga distancia) de gases por tubería (véase 49.50)","","3600","This class includes water collection, treatment and distribution activities for domestic and industrial needs. Collection of water from various sources, as well as distribution by various means is included.

This class includes:
- collection of water from rivers, lakes, wells etc.
- collection of rain water
- purification of water for water supply purposes
- treatment of water for industrial and other purposes
- desalting of sea or ground water to produce water as the principal product of interest
- distribution of water through mains, by trucks or other means
- operation of irrigation canals","The operation of irrigation canals is also included; however the provision of irrigation services through sprinklers, and similar agricultural support services, is not included.","This class excludes:
- operation of irrigation equipment for agricultural purposes, see 01.61
- treatment of wastewater in order to prevent pollution, see 37.00
- (long-distance) transport of water via pipelines, see 49.50"
"2","37","Recogida y tratamiento de aguas residuales","Esta división comprende la explotación de sistemas de alcantarillado o instalaciones de tratamiento de aguas residuales que recogen, tratan y eliminan éstas","","","","37","This division includes the operation of sewer systems or sewage treatment facilities that collect, treat, and dispose of sewage.","",""
"3","37.0","Recogida y tratamiento de aguas residuales","","","","","370","","",""
"4","37.00","Recogida y tratamiento de aguas residuales","Esta clase comprende:
- la explotación de sistemas de alcantarillado o instalaciones de tratamiento de aguas residuales
- la recogida y transporte de aguas residuales urbanas e industriales, así como del agua de lluvia por medio de redes de alcantarillado, colectores, cisternas y otros medios de transporte (vehículos para aguas residuales, etc.)
- el vaciado y limpieza de fosas y pozos sépticos, cloacas y fosos de aguas residuales, utilización de retretes químicos
- el tratamiento de aguas residuales (incluyendo aguas residuales urbanas, industriales, de piscinas, etc.) mediante procesos físicos, químicos y biológicos, como la dilución, cribado, filtrado, sedimentación, etc.
- el mantenimiento y la limpieza de alcantarillas y sumideros, incluyendo el desatasco de alcantarillas","","Esta clase no comprende:
- la descontaminación de aguas superficiales y subterráneas en el lugar contaminado (véase 39.00)
- la limpieza y desatasco de cañerías en edificios (véase 43.22)","","3700","This class includes:
- operation of sewer systems or sewer treatment facilities
- collecting and transporting of human or industrial wastewater from one or several users, as well as rain water by means of sewerage networks, collectors, tanks and other means of transport (sewage vehicles etc.)
- emptying and cleaning of cesspools and septic tanks, sinks and pits from sewage; servicing of chemical toilets
- treatment of wastewater (including human and industrial wastewater, water from swimming pools etc.) by means of physical, chemical and biological processes like dilution, screening, filtering, sedimentation etc.
- maintenance and cleaning of sewers and drains, including sewer rodding","","This class excludes:
- decontamination of surface water and groundwater at the place of pollution, see 39.00
- cleaning and deblocking of drainpipes in buildings, see 43.22"
"2","38","Recogida, tratamiento y eliminación de residuos; valorización","Esta división comprende la recogida, el tratamiento y la eliminación de materiales de desecho. Comprende también llos servicios de recogida de basuras y la explotación de los centros de valorización de materiales (es decir, los que separan los materiales recuperables del conjunto de residuos).","","","","38","This division includes the collection, treatment, and disposal of waste materials.","This also includes local hauling of waste materials and the operation of materials recovery facilities (i.e. those that sort recoverable materials from a waste stream).",""
"3","38.1","Recogida de residuos","Este grupo comprende la recogida de residuos procedentes de hogares y empresas por medio de cubos de basura, contenedores, etc. Comprende la recogida de residuos peligrosos y no peligrosos, por ejemplo, los procedentes de los hogares, las pilas gastadas, los aceites y grasas para cocinar usados, el aceite usado de barcos y de garajes, así como los desechos de las actividades de construcción y demolición.","","","","381","This group includes the collection of waste from households and businesses by means of refuse bins, wheeled bins, containers, etc. It includes collection of non-hazardous and hazardous waste e.g. waste from households, used batteries, used cooking oils and fats, waste oil from ships and used oil from garages, as well as construction and demolition waste.","",""
"4","38.11","Recogida de residuos no peligrosos","Esta clase comprende:
- la recogida de residuos sólidos no peligrosos (es decir, basuras) en un área local, como por ejemplo la recogida de residuos procedentes de hogares y empresas por medio de cubos de basura, contenedores, etc. Puede incluir materiales recuperables mezclados.
- la recogida de materiales reciclables
- la recogida de la basura de los contenedores y papeleras colocados en lugares públicos","Esta clase comprende también:
- la recogida de residuos de construcción y demolición
- la recogida y retirada de residuos como hojarasca y escombros
- la recogida de los residuos de productos en las fábricas textiles
- la explotación de los centros de transferencia de residuos no peligrosos","Esta clase no comprende:
- la recogida de desechos peligrosos (véase 38.12)
- la explotación de vertederos para la eliminación de desechos no peligrosos (véase 38.21)
- la explotación de instalaciones donde se clasifican por categorías los materiales recuperables mezclados, como papel, plásticos, envases de bebidas y metales (véase 38.32)","","3811","This class includes:
- collection of non-hazardous solid waste (i.e. garbage) within a local area, such as collection of waste from households and businesses by means of refuse bins, wheeled bins, containers etc may include mixed recoverable materials
- collection of recyclable materials
- collection of refuse in litter-bins in public places","This class also includes:
- collection of construction and demolition waste
- collection and removal of debris such as brush and rubble
- collection of waste output of textile mills
- operation of waste transfer facilities for non-hazardous waste","This class excludes:
- collection of hazardous waste, see 38.12
- operation of landfills for the disposal of non-hazardous waste, see 38.21
- operation of facilities where commingled recoverable materials such as paper, plastics, etc. are sorted into distinct categories, see 38.32"
