"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ","Tato sekce zahrnuje činnosti spojené s využíváním rostlinných a živočišných přírodních zdrojů. Patří sem činnosti jako pěstování zemědělských plodin, chov hospodářských zvířat, těžba dřeva a výroba jiných rostlinných a živočišných produktů v zemědělských podnicích nebo jejich získávání z volné přírody.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","33.19","Opravy ostatních zařízení","Tato třída zahrnuje opravy a údržbu přístrojů a zařízení, které nepatří do žádné jiné skupiny tohoto oddílu.

Z:
- opravy rybářských sítí, včetně spravování
- opravy lan, lanoví, plachet, plachtovin a celt
- opravy pytlů pro skladování hnojiv a chemikálií
- opravy nebo obnova dřevěných palet, přepravních sudů nebo barelů a podobných výrobků
- opravu hracích automatů a ostatních hracích automatů na mince
- restaurování varhan a jiných historických hudebních nástrojů","","N:
- opravy bytového nebo kancelářského nábytku, restaurování nábytku (95.24)
- opravy jízdních kol (95.29)
- opravy a úpravy oděvů (95.29)","","3319","This class includes the repair and maintenance of equipment not covered in other groups of this division.

This class includes:
- repair of fishing nets, including mending
- repair or ropes, riggings, canvas and tarpaulins
- repair of fertiliser and chemical storage bags
- repair or reconditioning of wooden pallets, shipping drums or barrels, and similar items
- repair of pinball machines and other coin-operated games
- restoring of organs and other historical musical instruments","","This class excludes:
- repair of household and office type furniture, furniture restoration, see 95.24
- repair of bicycles, see 95.29
- repair and alteration of clothing, see 95.29"
"3","33.2","Instalace průmyslových strojů a zařízení","","","","","332","","",""
"4","33.20","Instalace průmyslových strojů a zařízení","Tato třída zahrnuje odborné instalace strojů. Instalace zařízení, která tvoří pevnou součást budovy nebo podobné struktury, např. instalace eskalátorů, elektrického vedení, systémů alarmů nebo klimatizačního zařízení, je zařazena ve stavebnictví.

Z:
- instalaci průmyslových strojů ve výrobních zařízeních
- montáž regulačních zařízení výrobních procesů
- instalaci ostatních průmyslových zařízení, např.:
• komunikačních zařízení
• sálových (mainframe) a podobných počítačů
• kontrolních zařízení
• ozařovacích, elekroléčebných a podobných přístrojů
- rozsáhlá demontáž strojů a zařízení
- činnost strojních zámečníků
- seřizování strojů
- instalaci bowlingových a kuželkářských drah","","N:
- instalaci výtahů, pohyblivých schodišť, eskalátorů, automatických dveří, systémů odsávání prachu atd. (43.29)
- instalaci dveří, schodišť, zařízení obchodů, montáž nábytku atd. (43.32)
- instalaci (nastavení, seřizování) osobních počítačů (PC) (62.09)","","3320","This class includes the specialised installation of machinery. However, the installation of equipment that forms an integral part of buildings or similar structures, such as installation of escalators, electrical wiring, burglar alarm systems or air-conditioning systems, is classified as construction.

This class includes:
- installation of industrial machinery in industrial plant
- assembling of industrial process control equipment
- installation of other industrial equipment, e.g.:
  • communications equipment
  • mainframe and similar computers
  • irradiation and electromedical equipment etc.
- dismantling large-scale machinery and equipment
- activities of millwrights
- machine rigging
- installation of bowling alley equipment","","This class excludes:
- installation of elevators, escalators, automated doors, vacuum cleaning systems etc., see 43.29
- installation of doors, staircases, shop fittings, furniture etc., see 43.32
- installation (setting-up) of personal computers, see 62.09"
"1","D","DODÁVÁNÍ ELEKTŘINY, PLYNU, PÁRY A KLIMATIZOVANÉHO VZDUCHU","Tato sekce zahrnuje zásobování elektřinou, plynem, párou, teplou vodou apod. prostřednictvím stálé sítě infrastruktury, vedením, rozvodem a potrubím. Rozsah sítí není rozhodující. Sekce zahrnuje distribuci elektřiny, plynu, páry, horké vody apod. do průmyslových areálů nebo do obytných budov. Tato sekce tedy zahrnuje provoz zařízení, která vyrábějí, regulují a rozvádějí elektřinu nebo plyn.","Sekce zahrnuje rovněž výrobu a dodávání tepla, klimatizovaného vzduchu a ledu.","Tato sekce nezahrnuje provoz zařízení vodovodů a kanalizací (viz 36 a 37) ani dopravu plynu dálkovým potrubím (49.50).","","D","This section includes the activity of providing electric power, natural gas, steam, hot water and the like through a permanent infrastructure (network) of lines, mains and pipes. The dimension of the network is not decisive; also included are the distribution of electricity, gas, steam, hot water and the like in industrial parks or residential buildings.

This section therefore includes the operation of electric and gas utilities, which generate, control and distribute electric power or gas.","Also included is the provision of steam and air-conditioning supply.","This section excludes the operation of water and sewerage utilities, see 36, 37. This section also excludes the (typically long-distance) transport of gas through pipelines."
"2","35","Dodávání elektřiny, plynu, páry a klimatizovaného vzduchu","","","","","35","","",""
"3","35.1","Výroba, přenos a rozvod elektřiny","Tato skupina zahrnuje hromadnou výrobu elektřiny, její přenos z výrobních zařízení do rozvodných stanic a rozvod konečným uživatelům.","","","","351","This group includes the generation of bulk electric power, transmission from generating facilities to distribution centres and distribution to end users.","",""
"4","35.11","Výroba elektřiny","Z:
- provoz zařízení na výrobu elektřiny; elektrárny tepelné, jaderné, vodní, s plynovou turbínou, dieselovými agregáty a elektrárny využívající obnovitelné zdroje energií","","N:
- získávání elektřiny při spalování odpadů (38.21)","","3510","This class includes:
- operation of generation facilities that produce electric energy; including thermal, nuclear, hydroelectric, gas turbine, diesel and renewable","","This class excludes:
- production of electricity through incineration of waste, see 38.21"
"4","35.12","Přenos elektřiny","Z:
- provoz systémů pro přenos elektřiny z výrobního zařízení do rozvodných (distribučních) sítí","","","","3510","This class includes:
- operation of transmission systems that convey the electricity from the generation facility to the distribution system","",""
"4","35.13","Rozvod elektřiny","Z:
- provoz rozvodných (distribučních) sítí (tj. systémů složených z vedení, sloupů, elektroměrů a elektroinstalace), které vedou elektřinu z výrobních zařízení nebo rozvodných (distribučních) sítí ke konečným uživatelům","","","","3510","This class includes:
- operation of distribution systems (i.e., consisting of lines, poles, meters, and wiring) that convey electric power received from the generation facility or the transmission system to the final consumer","",""
"4","35.14","Obchod s elektřinou","Z:
- prodej elektřiny uživatelům
- činnosti makléřů nebo obchodních agentů, kteří zprostředkovávají prodej elektřiny prostřednictvím rozvodných sítí provozovaných jinými subjekty
- provoz burz, na nichž se obchoduje s elektrickou energií a s kapacitami přenosových sítí","","","","3510","This class includes:
- sale of electricity to the user
- activities of electric power brokers or agents that arrange the sale of electricity via power distribution systems operated by others
- operation of electricity and transmission capacity exchanges for electric power","",""
"3","35.2","Výroba plynu; rozvod plynných paliv prostřednictvím sítí","Tato skupina zahrnuje výrobu plynu a rozvod zemního plynu nebo syntetického plynu prostřednictvím potrubí konečným uživatelům.","Zahrnuje také činnosti makléřů nebo obchodních agentů zprostředkujících prodej plynu prostřednictvím rozvodných sítí provozovaných jinými subjekty.","Samostatný provoz dálkových potrubí, spojujících výrobce plynu s rozvodnými systémy nebo různými městskými oblastmi, nepatří do této skupiny, ale do dopravy dálkovým potrubím (49.50).","","352","This group includes the manufacture of gas and the distribution of natural or synthetic gas to the consumer through a system of mains. Gas marketers or brokers, which arrange the sale of natural gas over distribution systems operated by others, are included.

The separate operation of gas pipelines, typically done over long distances, connecting producers with distributors of gas, or between urban centres, is excluded from this group and classified with other pipeline transport activities.","",""
"4","35.21","Výroba plynu","Z:
- výrobu plynu, pro účely zásobování plynem, zplyňováním uhlí, ze zemědělských vedlejších produktů nebo z odpadů
- výrobu plynných paliv o specifické výhřevné hodnotě z plynů různého původu (včetně zemního plynu) čištěním, míšením a jinými procesy","","N:
- těžbu zemního plynu (06.20)
- provoz koksárenských pecí (19.10)
- výrobu rafinovaných produktů (19.20)
- výrobu technických plynů (20.11)","","3520","This class includes:
- production of gas for the purpose of gas supply by carbonation of coal, from by-products of agriculture or from waste
- manufacture of gaseous fuels with a specified calorific value, by purification, blending and other processes from gases of various types including natural gas","","This class excludes:
- production of crude natural gas, see 06.20
- operation of coke ovens, see 19.10
- manufacture of refined petroleum products, see 19.20
- manufacture of industrial gases, see 20.11"
"4","35.22","Rozvod plynných paliv prostřednictvím sítí","Z:
- rozvod a dodání plynných paliv všeho druhu prostřednictvím potrubních sítí","","N:
- dopravu plynu dálkovým potrubím (49.50)","","3520","This class includes:
- distribution and supply of gaseous fuels of all kinds through a system of mains","","This class excludes:
- (long-distance) transportation of gases by pipelines, see 49.50"
"4","35.23","Obchod s plynem prostřednictvím sítí","Z:
- prodej plynu prostřednictvím potrubních sítí uživatelům
- činnosti makléřů nebo obchodních agentů zprostředkujících prodej plynu prostřednictvím potrubních rozvodných sítí provozovaných jinými subjekty
- provoz burz, na nichž se obchoduje s plynnými palivy a s kapacitami přepravních potrubních sítí","","N:
- velkoobchod s plynnými palivy (46.71)
- maloobchod s plynem stlačeným v lahvích (47.78)
- přímý prodej paliv (47.99)","","3520","This class includes:
- sale of gas to the user through mains
- activities of gas brokers or agents that arrange the sale of gas over gas distribution systems operated by others
- commodity and transport capacity exchanges for gaseous fuels","","This class excludes:
- wholesale of gaseous fuels, see 46.71
- retail sale of bottled gas, see 47.78
- direct selling of fuel, see 47.99"
"3","35.3","Dodávání páry a klimatizovaného vzduchu","","","","","353","","",""
"4","35.30","Dodávání páry a klimatizovaného vzduchu","Z:
- výrobu, sběr a rozvod páry a teplé vody pro vytápění, pro získávání energie a jiné účely
- výrobu a rozvod chlazeného vzduchu
- výrobu a rozvod chlazené vody pro chladicí účely
- výrobu ledu pro potravinářství nebo pro jiné účely (např. chlazení)","","","","3530","This class includes:
- production, collection and distribution of steam and hot water for heating, power and other purposes
- production and distribution of cooled air
- production and distribution of chilled water for cooling purposes
- production of ice, for food and non-food (e.g. cooling) purposes","",""
"1","E","ZÁSOBOVÁNÍ VODOU; ČINNOSTI SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI","Tato sekce zahrnuje činnosti související s nakládáním (shromažďováním, sběrem, úpravou, odstraňováním) s různými druhy odpadů, např. pevnými nebo nepevnými průmyslovými nebo komunálními odpady a sanace kontaminovaných míst. Konečné produkty úpravy odpadů a odpadních vod mohou být buď odstraněny nebo využity v nových výrobních procesech jako druhotná surovina.","Tato sekce zahrnuje také činnosti spojené se zásobováním vodou, protože jsou často prováděné ve spojení s úpravou odpadních vod nebo je provádějí jednotky, které se zabývají také úpravou odpadních vod.","","","E","This section includes activities related to the management (including collection, treatment and disposal) of various forms of waste, such as solid or non-solid industrial or household waste, as well as contaminated sites. The output of the waste or sewage treatment process can either be disposed of or become an input into other production processes.","Activities of water supply are also grouped in this section, since they are often carried out in connection with, or by units also engaged in, the treatment of sewage.",""
"2","36","Shromažďování, úprava a rozvod vody","Tento oddíl zahrnuje shromažďování, úpravu a rozvod vody pro domácnosti a průmyslovou potřebu. Zahrnuje shromažďování vody z různých zdrojů, rovněž distribuce vody různými způsoby.","","","","36","This division includes the collection, treatment and distribution of water for domestic and industrial needs. Collection of water from various sources, as well as distribution by various means is included.","",""
"3","36.0","Shromažďování, úprava a rozvod vody","","","","","360","","",""
"4","36.00","Shromažďování, úprava a rozvod vody","Tato třída zahrnuje činnosti spojené se zásobováním vodou průmyslu a domácnosti. Vodu lze získávat a rozvádět různými způsoby.

Třída zahrnuje také provoz zavlažovacích kanálů, nezahrnuje však provoz rozstřikovacích zařízení a podobných podpůrných služeb pro zemědělství.

Z:
- získávání vody z řek, jezer, pramenů atd.
- shromažďování dešťové vody
- čištění vody pro účely zásobování vodou
- úpravu vody pro průmyslové a jiné účely
- odsolování mořské vody nebo spodních vod, pokud je hlavním účelem získání vody
- rozvod vody prostřednictvím potrubí, cisternovými vozy nebo jinými způsoby
- provoz zavlažovacích kanálů","","N:
- provoz zavlažovacích zařízení používaných pro zemědělské účely (01.61)
- úpravu odpadních vod pro účely ochrany životního prostředí (37.00)
- dopravu vody dálkovým potrubím (49.50)","","3600","This class includes water collection, treatment and distribution activities for domestic and industrial needs. Collection of water from various sources, as well as distribution by various means is included.

This class includes:
- collection of water from rivers, lakes, wells etc.
- collection of rain water
- purification of water for water supply purposes
- treatment of water for industrial and other purposes
- desalting of sea or ground water to produce water as the principal product of interest
- distribution of water through mains, by trucks or other means
- operation of irrigation canals","The operation of irrigation canals is also included; however the provision of irrigation services through sprinklers, and similar agricultural support services, is not included.","This class excludes:
- operation of irrigation equipment for agricultural purposes, see 01.61
- treatment of wastewater in order to prevent pollution, see 37.00
- (long-distance) transport of water via pipelines, see 49.50"
"2","37","Činnosti související s odpadními vodami","Tento oddíl zahrnuje provoz kanalizačních sítí nebo čističek odpadních vod za účelem shromažďování, úpravy a odstraňování odpadních vod.","","","","37","This division includes the operation of sewer systems or sewage treatment facilities that collect, treat, and dispose of sewage.","",""
"3","37.0","Činnosti související s odpadními vodami","","","","","370","","",""
"4","37.00","Činnosti související s odpadními vodami","Z:
- provoz kanalizačních sítí nebo čisticích zařízení odpadních vod
- shromažďování a odvoz odpadních vod z domácností nebo průmyslu od jednoho nebo několika uživatelů, také shromažďování dešťové vody v kanalizačních sítích, sběrných nádržích, nádobách a jiných dopravních prostředcích (cisternách na odpadní vody atd.)
- vyprazdňování a čištění septiků, žump, vyhnívacích nádrží a vsakovacích jímek; servis chemických toalet
- úpravu odpadních vod (z domácností, průmyslu, z bazénů atd.) fyzikálními, chemickými a biologickými procesy jako je ředění, prosévání, filtrování, usazování atd.
- údržbu a čištění kanalizací, stok, také pomocí tyčí","","N:
- dekontaminaci povrchových a podzemních vod v místě znečištění (39.00)
- čištění a pročištění potrubí odpadních vod v budovách (43.22)","","3700","This class includes:
- operation of sewer systems or sewer treatment facilities
- collecting and transporting of human or industrial wastewater from one or several users, as well as rain water by means of sewerage networks, collectors, tanks and other means of transport (sewage vehicles etc.)
- emptying and cleaning of cesspools and septic tanks, sinks and pits from sewage; servicing of chemical toilets
- treatment of wastewater (including human and industrial wastewater, water from swimming pools etc.) by means of physical, chemical and biological processes like dilution, screening, filtering, sedimentation etc.
- maintenance and cleaning of sewers and drains, including sewer rodding","","This class excludes:
- decontamination of surface water and groundwater at the place of pollution, see 39.00
- cleaning and deblocking of drainpipes in buildings, see 43.22"
"2","38","Sběr, příprava k likvidaci a likvidace odpadů; zpracování odpadů k dalšímu využití","Tento oddíl zahrnuje shromažďování, sběr, úpravu a odstraňování (likvidaci) odpadů.","Zahrnuje také svoz komunálních odpadů a provoz zařízení na recyklaci odpadů (tzn. zařízení, která z toků odpadů vytřiďují materiál k dalšímu využití).","","","38","This division includes the collection, treatment, and disposal of waste materials.","This also includes local hauling of waste materials and the operation of materials recovery facilities (i.e. those that sort recoverable materials from a waste stream).",""
"3","38.1","Sběr odpadů","Tato skupina zahrnuje shromažďování a sběr odpadů z domácnosti a z výkonu zaměstnání v nádobách určených pro komunální odpad: popelnice, pojízdné nádoby, kontejnery atd. Patří sem i nebezpečné odpady. Tato skupina zahrnuje, např. odpad z domácnosti, použité baterie, použité kuchyňské oleje a tuky, starý olej z lodí a automobilů, stavební suť a odpady ze stavebních demolic.","","","","381","This group includes the collection of waste from households and businesses by means of refuse bins, wheeled bins, containers, etc. It includes collection of non-hazardous and hazardous waste e.g. waste from households, used batteries, used cooking oils and fats, waste oil from ships and used oil from garages, as well as construction and demolition waste.","",""
"4","38.11","Sběr odpadů, kromě nebezpečných","Z:
- sběr pevných odpadů, kromě nebezpečných, na komunální úrovni, např. sběr odpadů z domácností, z průmyslu, ze živností v nádobách určených pro odpad: popelnice, pojízdné nádoby, kontejnery atd.; tyto odpady mohou obsahovat smíšené využitelné materiály
- sběr recyklovatelných odpadů
- sběr z veřejných odpadkových košů","ZT:
- sběr stavebního a demoličního odpadu
- sběr a přeprava úlomků, např. křoví, štěrků, sutí
- sběr odpadů z textilních továren
- provoz stanic pro překládku odpadů, kromě nebezpečných","N:
- sběr nebezpečných odpadů (38.12)
- provoz skládek odpadů, kromě nebezpečných (38.21)
- provoz zařízení, v nichž dochází k vytřiďování smíšených využitelných látek, např. papíru, plastů apod. z toků odpadů, do určitých rozdílných kategorií (38.32)","","3811","This class includes:
- collection of non-hazardous solid waste (i.e. garbage) within a local area, such as collection of waste from households and businesses by means of refuse bins, wheeled bins, containers etc may include mixed recoverable materials
- collection of recyclable materials
- collection of refuse in litter-bins in public places","This class also includes:
- collection of construction and demolition waste
- collection and removal of debris such as brush and rubble
- collection of waste output of textile mills
- operation of waste transfer facilities for non-hazardous waste","This class excludes:
- collection of hazardous waste, see 38.12
- operation of landfills for the disposal of non-hazardous waste, see 38.21
- operation of facilities where commingled recoverable materials such as paper, plastics, etc. are sorted into distinct categories, see 38.32"
"4","38.12","Sběr nebezpečných odpadů","Tato třída zahrnuje sběr pevných i nepevných nebezpečných odpadů, tj. s nebezpečím výbuchu, mimořádně hořlavých, vznětlivých, jedovatých, dráždivých, žíravých, infekčních, karcinogenních a jinak škodlivých pro člověka a životní prostředí. Tato činnost může zahrnovat identifikaci, úpravu, balení a označování odpadů za účelem přepravy.

Z:
- sběr nebezpečných odpadů:
• starých olejů z lodí a garáží
• biologického odpadu
• radioaktivního odpadu
• použitých baterií atd.
- provoz stanic pro překládku nebezpečného odpadu","","N:
- sanace a čištění kontaminovaných budov, těžebních lokalit, půdy a podzemních vod, např. odstraňování azbestu (viz 39.00)","","3812","This class includes the collection of solid and non-solid hazardous waste, i.e. explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive, infectious and other substances and preparations harmful for human health and environment. It may also entail identification, treatment, packaging and labeling of waste for the purposes of transport.

This class includes:
- collection of hazardous waste, such as:
  • used oil from shipment or garages
  • bio-hazardous waste
  • nuclear waste
  • used batteries etc.
- operation of waste transfer stations for hazardous waste","","This class excludes:
- remediation and clean up of contaminated buildings, mine sites, soil, ground water, e.g. asbestos removal, see 39.00"
"3","38.2","Příprava k likvidaci a likvidace odpadů","Tato skupina zahrnuje potřebnou úpravu různých odpadů k jejich odstranění, např. organických odpadů, živých nebo mrtvých zvířat kontaminovaných toxickými látkami a jiných kontaminovaných odpadů, slabě radioaktivních odpadů z nemocnic, rozličnými procesy a jejich odstraňování (likvidaci); přepravu a vyklápění odpadů na skládku nebo do vody; uložení odpadů do hloubky pod zemí; ekologicky šetrnou likvidaci starých výrobků, např. chladniček; spalování odpadů.","Zahrnuje také získávání energie spalováním odpadů.","N:
- úpravu a odstraňování odpadních vod (37.00)
- recyklaci využitelných látek (38.3)","","382","This group includes the disposal and treatment prior to disposal of various forms of waste by different means, such as treatment of organic waste with the aim of disposal; treatment and disposal of toxic live or dead animals and other contaminated waste; treatment and disposal of transition radioactive waste from hospitals, etc.; dumping of refuse on land or in water; burial or ploughing-under of refuse; disposal of used goods such as refrigerators to eliminate harmful waste; disposal of waste by incineration or combustion. Included is also energy recovery resulting from waste incineration process.","","This group excludes:
- treatment and disposal of wastewater, see 37.00
- materials recovery, see 38.3"
"4","38.21","Příprava k likvidaci a likvidace odpadů, kromě nebezpečných","Z:
- přípravu pevných i nepevných odpadů, kromě nebezpečných a jejich odstraňování činnostmi:
• provozem skládek odpadů, kromě nebezpečných
• spalováním nebo jinými procesy, které mohou být spojené i s výrobou elektřiny, páry, náhradních paliv, bioplynu, popela nebo jiných vedlejších produktů pro další využití atd.
• přípravou organických odpadů za účelem jejich odstraňování
• kompostováním organických odpadů","","N:
- spalování nebezpečných odpadů (38.22)
- provoz zařízení, v nichž dochází k vytřiďování smíšených využitelných látek, např. papíru, plastů, prázdných plechovek od nápojů a kovů, do určitých rozdílných kategorií (38.32)
- dekontaminaci a čištění půdy nebo vody; odmořování popř. redukce toxických látek (39.00)","","3821","This class includes the disposal and treatment prior to disposal of solid or non-solid non-hazardous waste:
- operation of landfills for the disposal of non-hazardous waste
- disposal of non-hazardous waste by combustion or incineration or other methods, with or without the resulting production of electricity or steam, compost, substitute fuels, biogas, ashes or other by-products for further use etc.
- treatment of organic waste for disposal","","This class excludes:
- incineration and combustion of hazardous waste, see 38.22
- operation of facilities where commingled recoverable materials such as paper, plastics, used beverage cans and metals, are sorted into distinct categories, see 38.32
- decontamination, clean up of land, water; toxic material abatement, see 39.00"
"4","38.22","Příprava k likvidaci a likvidace nebezpečných odpadů","Tato třída zahrnuje potřebnou přípravu k odstranění pevných i nepevných nebezpečných odpadů s nebezpečím výbuchu, mimořádně hořlavých, vznětlivých, jedovatých, dráždivých, žíravých, infekčních, karcinogenních a jinak škodlivých pro člověka a životní prostředí a jejich odstraňování (likvidaci).

Z:
- provoz zařízení pro úpravu nebezpečných odpadů
- úpravu živých nebo mrtvých zvířat kontaminovaných toxickými látkami a jiných kontaminovaných odpadů a jejich odstraňování
- spalování nebezpečných odpadů
- úpravu použitých výrobků, např. chladniček k odstranění škodlivých odpadů
- úpravu, odstranění a skladování radioaktivních odpadů:
• úprava slabě radioaktivních odpadů z nemocnic pro odvoz k odstranění
• zapouzdření, příprava a jiná úprava jaderných odpadů za účelem jejich uložení","","N:
- recyklaci jaderných paliv (20.13)
- spalování odpadů, kromě nebezpečných (38.21)
- dekontaminaci a čištění půdy nebo vody; redukce toxických látek (39.00)","","3822","This class includes the disposal and treatment prior to disposal of solid or non-solid hazardous waste, including waste that if explosive, oxidising, flammable, toxic, irritant, carcinogenic, corrosive, infectious and other substances and preparations harmful for human health and environment.

This class includes:
- operation of facilities for treatment of hazardous waste
- treatment and disposal of toxic live or dead animals and other contaminated waste
- incineration of hazardous waste
- disposal of used goods such as refrigerators to eliminate harmful waste
- treatment, disposal and storage of radioactive nuclear waste including:
  • treatment and disposal of transition radioactive waste, i.e. decaying within the period of transport, from hospitals
  • encapsulation, preparation and other treatment of nuclear waste for storage","","This class excludes:
- reprocessing of nuclear fuels, see 20.13
- incineration of non-hazardous waste, see 38.21
- decontamination, clean up of land, water; toxic material abatement, see 39.00"
"3","38.3","Zpracování odpadů k dalšímu využití","","","","","383","","",""
"4","38.31","Demontáž vraků a vyřazených strojů a zařízení","Tato třída zahrnuje demontáž všech druhů vraků a jiných použitých výrobků (automobilů, lodí, počítačů, televizorů a jiných přístrojů a zařízení) pro účely recyklace využitelných látek.","","N:
- úpravu použitých výrobků, např. chladniček k odstranění škodlivých odpadů (38.22)
- demontáž automobilů, lodí, počítačů, televizorů a jiných přístrojů a zařízení za účelem získání jednotlivých dílů pro další prodej (viz sekce G)","","3830","This class includes dismantling of wrecks of any type (automobiles, ships, computers, televisions and other equipment) for materials recovery.","","This class excludes:
- disposal of used goods such as refrigerators to eliminate harmful waste, see 38.22
- dismantling of automobiles, ships, computers, televisions and other equipment to obtain re-sell usable parts, see section G"
"4","38.32","Zpracování vytříděných surovin k dalšímu využití","Tato třída zahrnuje zpracování kovových a nekovových použitých materiálů, zbytkových látek a výrobků na druhotné suroviny, zpravidla použitím mechanického nebo chemického procesu přeměny.

Příklady používaných mechanických nebo chemických zpracovatelských procesů:
- mechanické drcení kovového odpadu z použitých motorových vozidel, praček, jízdních kol atd.
- rozlisování velkých kovových částí popř. výrobků, např. železničních vagonů
- rozřezání kovových odpadů, vraků vozidel atd.
- jiné metody mechanické úpravy, tj. řezání nebo lisování za účelem zmenšení objemu
- zpětné získávání kovů z fotografického odpadu, tj. fixačních roztoků, filmů a fotografického papíru
- zpětné získávání pryže (regenerace), např. z použitých pneumatik, za účelem získávání druhotných surovin
- třídění a lisování plastů za účelem získávání druhotných surovin pro výrobu trubek, květináčů, palet apod.
- zpracování (čištění, tavení, mletí) plastových nebo pryžových odpadů na granuláty
- drcení, čistění a třídění skla
- drcení, čistění a třídění jiných odpadů, např. materiálu z demolic staveb, za účelem získávání druhotných surovin
- zpracování použitých kuchyňských olejů a tuků na druhotné suroviny
- zpracování ostatních odpadů a zbytkových látek z potravin, nápojů a tabáku na druhotné suroviny","Zahrnuje také recyklaci využitelných látek z toků odpadů: 1.) vytřiďováním využitelných látek z toků odpadů, kromě nebezpečných (tzn. z komunálního odpadu) nebo 2.) vytřiďováním ze smíšených využitelných látek, např. papíru, plastů, prázdných plechovek od nápojů a kovů, do určitých rozdílných kategorií.","N:
- výrobu nových konečných produktů z druhotných surovin (vlastní výroby nebo od jiných výrobců), např. spřádání příze z recyklovaných vláken, výrobu papíroviny z papírového odpadu, protektorování pneumatik nebo výrobu kovů z kovového odpadu (viz příslušné třídy v sekci C – zpracovatelský průmysl)
- recyklaci jaderných paliv (20.13)
- tavení železného šrotu (24.10)
- zpětné získávání látek při spalování nebo tepelném zpracování (38.2)
- úpravu odpadů, kromě nebezpečných a jejich odstraňování (38.21)
- přípravu organických odpadů za účelem jejich odstraňování, včetně kompostování (38.21)
- získávání energie spalováním odpadů, kromě nebezpečných (38.21)
- úprava slabě radioaktivních odpadů z nemocnic pro odvoz k odstranění (38.22)
- úpravu toxických, kontaminovaných odpadů a jejich likvidaci (38.22)
- velkoobchod s využitelnými odpadními materiály (46.77)","","3830","This class includes the processing of metal and non-metal waste and scrap and other articles into secondary raw materials, usually involving a mechanical or chemical transformation process.

Examples of the mechanical or chemical transformation processes that are undertaken are:
- mechanical crushing of metal waste from used cars, washing machines, bikes etc.
- mechanical reduction of large iron pieces such as railway wagons
- shredding of metal waste, end-of-life vehicles etc.
- other methods of mechanical treatment as cutting, pressing to reduce the volume
- reclaiming metals out of photographic waste, e.g. fixer solution or photographic films and paper
- reclaiming of rubber such as used tyres to produce secondary raw material
- sorting and pelleting of plastics to produce secondary raw material for tubes, flower pots, pallets and the like
- processing (cleaning, melting, grinding) of plastic or rubber waste to granulates
- crushing, cleaning and sorting of glass
- crushing, cleaning and sorting of other waste such as demolition waste to obtain secondary raw material
- processing of used cooking oils and fats into secondary raw materials
- processing of other food, beverage and tobacco waste and residual substances into secondary raw materials","Also included is the recovery of materials from waste streams in the form of (1) separating and sorting recoverable materials from non-hazardous waste streams (i.e. garbage) or (2) the separating and sorting of commingled recoverable materials, such as paper, plastics, used beverage cans and metals, into distinct categories.","This class excludes:
- manufacture of new final products from (whether or not self-manufactured) secondary raw materials, such as spinning yarn from garnetted stock, making pulp from paper waste, retreading tyres or production of metal from metal scrap, see corresponding classes in section C (Manufacturing)
- reprocessing of nuclear fuels, see 20.13
- remelting ferrous waste and scrap, see 24.10
- materials recovery during waste combustion or incineration process, see 38.2
- treatment and disposal of non-hazardous waste, see 38.21
- treatment of organic waste for disposal, including production of compost, see 38.21
- energy recovery during non-hazardous waste incineration process, see 38.21
- treatment and disposal of transition radioactive waste from hospitals etc., see 38.22
- treatment and disposal of toxic, contaminated waste, see 38.22
- wholesale of recoverable materials, see 46.77"
"2","39","Sanace a jiné činnosti související s nakládáním s odpady","Tato sekce zahrnuje činnosti související s odpady a činnostmi sanačními, tzn. čištění kontaminovaných budov, průmyslových závodů nebo areálů, území, půdy nebo povrchových a podzemních vod.","","","","39","This division includes the provision of remediation services, i.e. the cleanup of contaminated buildings and sites, soil, surface or ground water.","",""
"3","39.0","Sanace a jiné činnosti související s nakládáním s odpady","","","","","390","","",""
